mlbam_id,prev_yearID,yearID,key_bbref,birth_year,HR.x,BB.x,HBP.x,SO.x,IPouts.x,FIP.x,Change.x,Fourseam.x,Slider.x,Curve.x,Sinker.x,Split.x,Cutter.x,Knuckler.x,Slow.Curve.x,Screwball.x,Fourseam.bway.x,Change.bway.x,Slider.bway.x,Sinker.bway.x,Curve.bway.x,Split.bway.x,Cutter.bway.x,Knuckler.bway.x,Slow.Curve.bway.x,Screwball.bway.x,Fourseam.vloc.x,Change.vloc.x,Slider.vloc.x,Sinker.vloc.x,Curve.vloc.x,Split.vloc.x,Cutter.vloc.x,Knuckler.vloc.x,Slow.Curve.vloc.x,Screwball.vloc.x,Fourseam.hloc.x,Change.hloc.x,Slider.hloc.x,Sinker.hloc.x,Curve.hloc.x,Split.hloc.x,Cutter.hloc.x,Knuckler.hloc.x,Slow.Curve.hloc.x,Screwball.hloc.x,Fourseam.pfx_z.x,Change.pfx_z.x,Slider.pfx_z.x,Sinker.pfx_z.x,Curve.pfx_z.x,Split.pfx_z.x,Cutter.pfx_z.x,Knuckler.pfx_z.x,Slow.Curve.pfx_z.x,Screwball.pfx_z.x,Fourseam.pfx_x.x,Change.pfx_x.x,Slider.pfx_x.x,Sinker.pfx_x.x,Curve.pfx_x.x,Split.pfx_x.x,Cutter.pfx_x.x,Knuckler.pfx_x.x,Slow.Curve.pfx_x.x,Screwball.pfx_x.x,Fourseam.maxmph.x,Change.maxmph.x,Slider.maxmph.x,Sinker.maxmph.x,Curve.maxmph.x,Split.maxmph.x,Cutter.maxmph.x,Knuckler.maxmph.x,Slow.Curve.maxmph.x,Screwball.maxmph.x,Fourseam.mph.x,Change.mph.x,Slider.mph.x,Sinker.mph.x,Curve.mph.x,Split.mph.x,Cutter.mph.x,Knuckler.mph.x,Slow.Curve.mph.x,Screwball.mph.x,HR.y,BB.y,HBP.y,SO.y,IPouts.y,FIP.y,Change.y,Fourseam.y,Slider.y,Curve.y,Sinker.y,Split.y,Cutter.y,Knuckler.y,Slow.Curve.y,Screwball.y,Fourseam.bway.y,Change.bway.y,Slider.bway.y,Sinker.bway.y,Curve.bway.y,Split.bway.y,Cutter.bway.y,Knuckler.bway.y,Slow.Curve.bway.y,Screwball.bway.y,Fourseam.vloc.y,Change.vloc.y,Slider.vloc.y,Sinker.vloc.y,Curve.vloc.y,Split.vloc.y,Cutter.vloc.y,Knuckler.vloc.y,Slow.Curve.vloc.y,Screwball.vloc.y,Fourseam.hloc.y,Change.hloc.y,Slider.hloc.y,Sinker.hloc.y,Curve.hloc.y,Split.hloc.y,Cutter.hloc.y,Knuckler.hloc.y,Slow.Curve.hloc.y,Screwball.hloc.y,Fourseam.pfx_z.y,Change.pfx_z.y,Slider.pfx_z.y,Sinker.pfx_z.y,Curve.pfx_z.y,Split.pfx_z.y,Cutter.pfx_z.y,Knuckler.pfx_z.y,Slow.Curve.pfx_z.y,Screwball.pfx_z.y,Fourseam.pfx_x.y,Change.pfx_x.y,Slider.pfx_x.y,Sinker.pfx_x.y,Curve.pfx_x.y,Split.pfx_x.y,Cutter.pfx_x.y,Knuckler.pfx_x.y,Slow.Curve.pfx_x.y,Screwball.pfx_x.y,Fourseam.maxmph.y,Change.maxmph.y,Slider.maxmph.y,Sinker.maxmph.y,Curve.maxmph.y,Split.maxmph.y,Cutter.maxmph.y,Knuckler.maxmph.y,Slow.Curve.maxmph.y,Screwball.maxmph.y,Fourseam.mph.y,Change.mph.y,Slider.mph.y,Sinker.mph.y,Curve.mph.y,Split.mph.y,Cutter.mph.y,Knuckler.mph.y,Slow.Curve.mph.y,Screwball.mph.y
120485,2012,2013,pettian01,1972,17,48,4,128,556,3.70087769784173,224,926,0,386,481,0,956,0,0,0,8.21,1.79,0,4.57,6.74,0,2.41,0,0,0,0.23,-0.87,0,-0.39,-0.36,0,-0.83,0,0,0,0.1,0.4,0,0.33,0.37,0,-0.11,0,0,0,9.85,3.27,0,7.12,-1.75,0,3.32,0,0,0,2.49,9.08,0,8.19,-6.22,0,-2.05,0,0,0,93,86.28,0,92.51,82.43,0,90.25,0,0,0,89.8,80.9,0,89.47,75.64,0,84.06,0,0,0,8,21,0,69,226,3.47995575221239,113,517,0,159,203,0,338,0,0,0,5.8,0.89,0,3.45,6.29,0,2.96,0,0,0,0.15,-1,0,-0.44,-0.23,0,-1.11,0,0,0,0.15,0.43,0,0.24,0.48,0,0.06,0,0,0,10.74,4.04,0,8.41,-0.96,0,3.47,0,0,0,1.89,8.65,0,8.51,-6.98,0,-2.59,0,0,0,91.92,84.46,0,91.13,78.42,0,89.2,0,0,0,88.48,80.25,0,88.74,74.36,0,81.91,0,0,0
150035,2010,2011,farnsky01,1976,5,12,3,51,173,3.16372832369942,0,193,174,0,325,0,185,0,0,0,4.15,0,6.9,6.46,0,0,8.65,0,0,0,0.26,0,-0.6,-0.44,0,0,-0.35,0,0,0,0.46,0,0.31,0.28,0,0,0.39,0,0,0,8.79,0,0.21,5.83,0,0,3.81,0,0,0,-7.01,0,2.84,-9.24,0,0,1.39,0,0,0,100.22,0,90.7,100.36,0,0,93.53,0,0,0,96.73,0,87.14,94.12,0,0,90.42,0,0,0,4,19,4,61,194,3.06353608247423,9,316,143,0,483,0,248,0,0,0,8.54,0,8.39,5.59,0,0,7.26,0,0,0,0.12,-0.66,-0.69,-0.36,0,0,-0.45,0,0,0,0.48,0.96,0.31,0.39,0,0,0.17,0,0,0,9.32,6.79,-0.55,6.07,0,0,3.6,0,0,0,-6.86,-6.54,3.53,-9.15,0,0,1.52,0,0,0,100.26,87.38,91.17,98.88,0,0,93.67,0,0,0,95.98,86.03,85.45,93.64,0,0,89.4,0,0,0
218596,2013,2014,hudsoti01,1975,15,34,7,120,568,3.54397183098592,379,382,3,235,1267,60,672,0,0,0,5.5,2.64,0,6,2.98,0,5.06,0,0,0,0.32,-0.91,-1.05,-0.47,-0.69,-1.22,-0.87,0,0,0,0.22,0.47,0.38,0.24,0.49,0.49,0.49,0,0,0,6.73,0.41,-1.91,2.68,-4.28,1.03,1,0,0,0,-5.78,-6.62,4.34,-8.36,8.29,-7.01,1.03,0,0,0,92.14,84.72,82.29,92.38,80.26,85.64,88.07,0,0,0,89.91,81.26,81.75,89.68,76.14,83.2,84.09,0,0,0,10,36,2,95,394,3.45916751269036,190,334,0,203,791,52,422,0,0,0,4.79,1.58,0,5.06,1.48,7.69,4.5,0,0,0,0.16,-0.95,0,-0.46,-1.03,-1.54,-0.78,0,0,0,0.44,0.42,0,0.31,0.38,0.24,0.3,0,0,0,7.06,1.25,0,2.83,-4.97,2.02,1.33,0,0,0,-6.35,-5.34,0,-8.51,8.3,-6.66,1.09,0,0,0,93.36,84.87,0,93.28,79.93,84.99,89.23,0,0,0,90.68,81.24,0,90.54,77.08,83.18,85.42,0,0,0
276351,2013,2014,grillja01,1976,4,21,4,57,162,3.37274074074074,56,552,327,0,22,0,0,0,0,0,5.25,0,4.28,0,0,0,0,0,0,0,0.38,-0.52,-1.06,-0.6,0,0,0,0,0,0,0.32,1.07,0.64,0.9,0,0,0,0,0,0,8.61,7.42,-0.42,6.32,0,0,0,0,0,0,-7.45,-8.67,6.09,-9.42,0,0,0,0,0,0,96.51,87.74,85.63,94.94,0,0,0,0,0,0,93.96,85.35,82.88,93.1,0,0,0,0,0,0,4,13,1,74,150,1.968,3,611,286,0,0,0,0,0,0,0,6.06,0,3.5,0,0,0,0,0,0,0,0.55,0.07,-0.73,0,0,0,0,0,0,0,0.13,1.43,0.51,0,0,0,0,0,0,0,8.68,5.73,0.06,0,0,0,0,0,0,0,-6.99,-9.03,6.47,0,0,0,0,0,0,0,97.17,87.08,86.81,0,0,0,0,0,0,0,94.22,85.27,83.52,0,0,0,0,0,0,0
276542,2011,2012,benoijo01,1977,14,22,1,84,213,4.26401408450704,0,661,207,4,0,418,0,0,0,0,4.84,0,7.73,0,0,2.39,0,0,0,0,0.29,0,-0.63,0,1.2,-1.07,0,0,0,0,0.7,0,0.51,0,0.61,0.53,0,0,0,0,9.55,0,3.09,0,-3.52,3.3,0,0,0,0,-6.58,0,1.01,0,3.89,-8.34,0,0,0,0,98.49,0,90.4,0,80.41,88.05,0,0,0,0,94.55,0,86.61,0,78.21,84.38,0,0,0,0,5,17,2,63,183,2.9594262295082,0,684,140,1,0,303,0,0,0,0,5.56,0,6.43,0,0,2.31,0,0,0,0,0.4,0,-0.5,0,-0.21,-1.02,0,0,0,0,0.72,0,0.76,0,1.26,0.52,0,0,0,0,10.12,0,4.11,0,-1.42,4.26,0,0,0,0,-6.03,0,0.78,0,4.02,-7.79,0,0,0,0,97.33,0,92.27,0,76.45,90.03,0,0,0,0,94.81,0,87.48,0,76.45,84.23,0,0,0,0
277417,2012,2013,beckejo02,1980,8,15,1,41,130,4.66338461538462,142,210,0,160,162,1,137,0,0,0,4.76,2.11,0,3.09,7.5,0,5.11,0,0,0,0.12,-0.9,0,-0.24,-0.67,-0.43,-0.22,0,0,0,0.56,0.64,0,0.36,0.33,0.78,0.49,0,0,0,9.14,3.84,0,6.04,-8.11,3.96,7.91,0,0,0,-5.86,-8.25,0,-9.32,7.2,-0.94,-1.22,0,0,0,95.13,90.54,0,95.32,81.51,86.76,94.08,0,0,0,92.94,87.23,0,92.86,75.99,86.76,90.93,0,0,0,21,52,5,132,511,4.15175146771037,289,517,22,474,741,18,553,0,0,0,7.16,2.42,4.55,6.48,2.95,11.11,5.97,0,0,0,0.01,-0.66,-0.38,-0.03,-0.77,-0.18,-0.06,0,0,0,0.43,0.66,0.57,0.4,0.48,0.73,0.33,0,0,0,8.93,2.48,1.55,5.26,-8.16,2.88,6.3,0,0,0,-5.87,-8.32,-2.12,-9.08,7.37,-4.28,-0.63,0,0,0,95.1,90,88.34,94.78,81.05,87.81,92.98,0,0,0,92.11,87.36,86.18,92.19,76.32,85.85,89.76,0,0,0
285064,2013,2014,vogelry01,1977,18,58,9,151,554,3.8522166064982,459,946,21,580,630,0,659,0,0,0,4.55,4.79,9.52,3.17,3.79,0,4.4,0,0,0,0.22,-0.58,-0.8,-0.33,-0.67,0,-0.04,0,0,0,0.3,0.7,0.68,0.18,0.63,0,0.53,0,0,0,9.07,6.11,-3.59,7.01,-4.08,0,7.5,0,0,0,-4.43,-7.91,1.73,-7.34,2.25,0,-0.52,0,0,0,95.24,88.11,78.51,94.94,80.54,0,91.98,0,0,0,91.2,84.2,77.32,91.06,77.52,0,88.69,0,0,0,15,38,6,67,311,4.90973633440514,268,456,0,359,466,0,398,0,0,0,5.92,2.99,0,3.43,6.13,0,4.77,0,0,0,0.17,-0.39,0,-0.27,-0.58,0,0.01,0,0,0,0.33,0.83,0,0.14,0.74,0,0.74,0,0,0,9.48,5.46,0,6.6,-4.26,0,7.11,0,0,0,-4.6,-8.28,0,-7.54,2.09,0,-0.89,0,0,0,93.83,87.33,0,93.19,79.99,0,90.88,0,0,0,90.32,83.19,0,89.65,76.64,0,87.01,0,0,0
346797,2014,2015,balfogr01,1977,1,4,1,0,13,9.59553846153846,7,33,28,3,18,0,0,0,0,0,3.03,14.29,0,5.56,0,0,0,0,0,0,0.39,-0.77,-1.51,-0.27,-2.38,0,0,0,0,0,0.65,0.3,0.65,1.1,0.17,0,0,0,0,0,12.12,10.31,4.73,11.51,-2.53,0,0,0,0,0,-0.74,-5.4,1.46,-5.58,2.01,0,0,0,0,0,92.17,86.14,86.93,91.16,82.19,0,0,0,0,0,90.52,85.24,85.37,89.98,81.55,0,0,0,0,0,3,41,1,57,187,3.95018181818182,65,651,270,116,5,0,0,0,0,0,6.91,3.08,3.7,0,3.45,0,0,0,0,0,-0.03,-0.78,-0.91,-0.23,-0.76,0,0,0,0,0,0.51,0.35,0.56,1.09,0.52,0,0,0,0,0,11.64,7.74,2.77,9.21,-1.3,0,0,0,0,0,-0.78,-4.28,1.59,-6.23,2.42,0,0,0,0,0,95.17,89.35,88.47,92.92,87.26,0,0,0,0,0,92.66,86.82,85.44,92.19,82.74,0,0,0,0,0
346798,2013,2014,lohseky01,1978,22,45,8,141,595,3.9538487394958,382,194,886,355,1173,0,0,0,0,0,5.15,5.24,4.63,4.6,3.38,0,0,0,0,0,0.48,-0.81,-0.49,0.03,-0.75,0,0,0,0,0,0.17,0.6,0.62,0.36,0.47,0,0,0,0,0,10.04,4.53,2.43,8.61,-7.41,0,0,0,0,0,-4.71,-7.36,3.67,-6.77,5.12,0,0,0,0,0,92.22,83.04,88.16,93.19,80.55,0,0,0,0,0,90.17,79.85,84.45,90.24,75.36,0,0,0,0,0,26,36,3,125,596,4.07987919463087,452,62,839,310,1347,0,0,0,0,0,1.61,2.65,4.89,5.42,8.71,0,0,0,0,0,0.67,-0.85,-0.4,-0.09,-0.34,0,0,0,0,0,0.03,0.6,0.45,0.24,0.47,0,0,0,0,0,10.44,4.32,2.21,8.62,-7.5,0,0,0,0,0,-3.17,-7.13,3.63,-6.65,6.06,0,0,0,0,0,92.63,85.08,88.39,93.89,79.88,0,0,0,0,0,90.53,81.38,84.62,90.38,74.92,0,0,0,0,0
346847,2014,2015,beimejo01,1977,8,16,1,22,142,5.47907042253521,76,242,90,26,256,0,0,0,0,0,5.37,2.63,2.22,2.34,0,0,0,0,0,0,-0.07,-1.07,-1.41,-0.7,-1.4,0,0,0,0,0,0.59,0.53,0.76,0.52,0.1,0,0,0,0,0,7.41,6.27,1.2,5.39,-3.14,0,0,0,0,0,4.63,9.37,-1.12,8.49,-5.96,0,0,0,0,0,91.6,87.89,83.59,89.67,75.29,0,0,0,0,0,88.99,81.56,79.48,85.73,71.85,0,0,0,0,0,4,14,1,25,135,4.17644444444444,78,246,81,31,218,0,0,0,0,0,8.54,2.56,2.47,2.75,3.23,0,0,0,0,0,-0.1,-0.91,-1.12,-0.62,-1.24,0,0,0,0,0,0.44,0.76,0.59,0.52,0.16,0,0,0,0,0,7.44,7.03,1.99,5.31,-3.97,0,0,0,0,0,4.75,9.92,-1.21,9.21,-6.5,0,0,0,0,0,92.44,83.29,84.06,91.62,75.21,0,0,0,0,0,88.43,80.17,79.57,85.89,71.41,0,0,0,0,0
400058,2010,2011,lidgebr01,1976,0,13,1,23,58,2.81810344827586,0,99,249,0,0,0,0,0,0,0,5.05,0,5.62,0,0,0,0,0,0,0,0.14,0,-0.7,0,0,0,0,0,0,0,0.25,0,0.28,0,0,0,0,0,0,0,7.44,0,-0.23,0,0,0,0,0,0,0,-4.64,0,0.47,0,0,0,0,0,0,0,92.4,0,84.13,0,0,0,0,0,0,0,89.82,0,81.65,0,0,0,0,0,0,0,5,24,1,52,137,3.86732116788321,0,333,520,0,0,0,0,0,0,0,5.41,0,5.96,0,0,0,0,0,0,0,0.17,0,-0.67,0,0,0,0,0,0,0,0.24,0,0.3,0,0,0,0,0,0,0,9.2,0,0.87,0,0,0,0,0,0,0,-3.34,0,1.16,0,0,0,0,0,0,0,95.06,0,88.19,0,0,0,0,0,0,0,92.22,0,83.86,0,0,0,0,0,0,0
400089,2010,2011,soriara01,1979,4,18,1,36,118,3.96567796610169,1,425,217,0,54,0,0,0,0,0,7.06,0,5.07,3.7,0,0,0,0,0,0,0.17,-0.63,-0.72,-0.26,0,0,0,0,0,0,0.4,1.39,0.4,0.87,0,0,0,0,0,0,9.24,2.8,-0.27,7.25,0,0,0,0,0,0,-1.72,-4.84,3.83,-7.55,0,0,0,0,0,0,96.76,88.77,87.07,97.94,0,0,0,0,0,0,92.89,88.77,81.91,93.89,0,0,0,0,0,0,4,14,1,57,187,2.80627272727273,1,674,205,0,78,0,0,0,0,0,7.12,0,7.8,1.28,0,0,0,0,0,0,0.14,1.03,-0.9,-0.09,0,0,0,0,0,0,0.31,2.12,0.37,1.01,0,0,0,0,0,0,9.54,5.45,1.45,8.05,0,0,0,0,0,0,-1.49,-6.48,3.81,-8.1,0,0,0,0,0,0,97.39,87.95,88.97,97.01,0,0,0,0,0,0,93.29,87.94,84.16,94.63,0,0,0,0,0,0
407296,2011,2012,zambrca01,1981,9,75,10,95,397,4.47031486146096,11,199,264,65,908,480,452,0,0,0,5.53,0,4.55,4.96,1.54,2.29,6.19,0,0,0,0.03,0.34,-0.46,-0.28,-0.36,-1.19,-0.04,0,0,0,0.53,0.3,0.55,0.39,0.54,0.62,0.27,0,0,0,6.8,8.43,3.35,2.77,-2.17,-1.57,5.34,0,0,0,-6.1,-6.21,6.63,-9.47,9.39,-6.1,-2.18,0,0,0,96.05,86.51,85.67,94.88,77.71,88.73,94.38,0,0,0,91.62,84.5,80.52,90.68,72.24,83.77,89.6,0,0,0,19,56,5,101,437,4.59021739130435,2,608,331,81,989,195,233,0,0,0,5.1,0,7.55,5.97,4.94,1.03,6.44,0,0,0,0.19,0.32,-0.73,-0.19,-0.44,-1.36,0.21,0,0,0,0.44,0.61,0.29,0.31,0.35,0.39,0.25,0,0,0,8.73,10.58,2.14,6.09,-3.55,0.77,7.21,0,0,0,-4.14,-1.29,7.25,-8.21,8.24,-6.34,-0.83,0,0,0,95.86,82.3,85.23,95.35,77.46,87.6,95.28,0,0,0,91.09,82.29,79.84,90.75,71.32,83.83,90.11,0,0,0
407297,2011,2012,cruzju02,1978,3,19,3,33,107,4.18845794392523,66,199,123,0,83,0,213,0,0,0,6.53,3.03,8.13,2.41,0,0,6.1,0,0,0,0.12,-0.58,-0.15,0.15,0,0,-0.2,0,0,0,0.6,0.49,0.65,0.8,0,0,0.42,0,0,0,9.58,3.82,-1.13,7.18,0,0,4.41,0,0,0,-6.33,-9.49,9.81,-8.17,0,0,-1.25,0,0,0,96.65,88.49,83.01,97.37,0,0,92.96,0,0,0,94.61,85.25,79.9,93.85,0,0,89.22,0,0,0,5,28,0,46,146,4.19623287671233,72,302,184,0,87,0,274,0,0,0,5.96,4.17,4.35,4.6,0,0,5.11,0,0,0,0.18,-0.28,-0.51,0.16,0,0,-0.32,0,0,0,0.49,0.63,0.49,0.92,0,0,0.53,0,0,0,9.94,5.54,-0.06,7.29,0,0,4.22,0,0,0,-5.23,-8.28,9.5,-8.78,0,0,0.01,0,0,0,96.23,86.53,84.07,95.15,0,0,91.32,0,0,0,93.7,84.2,80.33,92.92,0,0,88.41,0,0,0
407819,2013,2014,thornma01,1976,0,8,5,28,108,2.65977777777778,0,396,3,46,166,43,0,0,0,0,7.07,0,0,4.22,4.35,2.33,0,0,0,0,0.25,0,0.46,-0.18,-1.06,-0.69,0,0,0,0,0.25,0,1.12,0.15,0.76,0.48,0,0,0,0,9.95,0,3.11,8.87,-0.41,4.03,0,0,0,0,5.48,0,3.45,8.94,-0.24,7.36,0,0,0,0,98.15,0,90.27,98.69,86,91.62,0,0,0,0,96.13,0,89.79,96.1,83.85,90.06,0,0,0,0,4,15,2,30,130,4.04030769230769,0,455,36,129,82,3,0,0,0,0,4.4,0,2.78,4.88,3.88,0,0,0,0,0,0.1,0,-1.15,-0.17,-1.15,0.29,0,0,0,0,0.01,0,0.24,0.14,-0.03,1.44,0,0,0,0,8.9,0,3.9,8.95,-1.56,6.03,0,0,0,0,2.76,0,-0.43,7.27,-0.29,4.91,0,0,0,0,97.61,0,88.51,96.64,85.38,88.99,0,0,0,0,95.1,0,86.46,94.81,82.85,88.43,0,0,0,0
407911,2010,2011,francfr01,1979,7,18,0,53,152,3.79473684210526,0,594,1,88,0,171,0,0,0,0,6.23,0,0,0,5.68,4.09,0,0,0,0,0.01,0,0.8,0,-0.26,-0.59,0,0,0,0,0.37,0,1.42,0,0.22,0.46,0,0,0,0,11.5,0,5.14,0,-6.42,5.76,0,0,0,0,-3.82,0,2.59,0,4.41,-5.03,0,0,0,0,98.49,0,84.26,0,83.18,89.07,0,0,0,0,95.06,0,84.26,0,79.28,86.54,0,0,0,0,5,18,1,60,158,3.1169746835443,0,588,14,87,0,203,0,0,0,0,6.63,0,0,0,1.15,5.42,0,0,0,0,0.09,0,0.26,0,-1.06,-0.3,0,0,0,0,0.11,0,0.21,0,0.08,0.19,0,0,0,0,10.89,0,4.3,0,-6.21,5.1,0,0,0,0,-3.97,0,2.12,0,3.32,-4.77,0,0,0,0,97.55,0,87.21,0,83.87,89.15,0,0,0,0,94.59,0,85.38,0,80.14,86.49,0,0,0,0
408061,2010,2011,rodrifr03,1982,4,26,2,79,215,2.71802325581395,246,386,0,260,364,0,0,0,0,0,6.99,3.66,0,7.97,4.23,0,0,0,0,0,-0.21,-1.15,0,-0.44,-0.82,0,0,0,0,0,0.41,0.35,0,0.39,0.51,0,0,0,0,0,10.37,3.11,0,5.97,-5.78,0,0,0,0,0,-1.95,-3.85,0,-7.99,8.66,0,0,0,0,0,95.09,88.04,0,94.74,81.81,0,0,0,0,0,91.47,83.38,0,90.79,77.41,0,0,0,0,0,3,21,2,67,172,2.62551162790698,166,484,0,212,88,0,0,0,0,0,9.3,7.23,0,5.68,5.19,0,0,0,0,0,-0.15,-0.98,0,-0.33,-0.77,0,0,0,0,0,0.43,0.38,0,0.66,0.56,0,0,0,0,0,10.08,3.75,0,6.46,-3.91,0,0,0,0,0,-0.63,-3.95,0,-7.2,9.15,0,0,0,0,0,94.85,88.9,0,93.96,82.55,0,0,0,0,0,92.17,83.08,0,91.83,78.62,0,0,0,0,0
408241,2014,2015,peavyja01,1981,12,25,2,78,332,3.86592771084337,129,543,73,136,240,0,518,0,0,0,7,2.33,5.48,7.08,4.41,0,5.41,0,0,0,0.18,-1.2,-1.24,-0.39,-1.12,0,-0.41,0,0,0,0.26,0.77,0.59,0.13,0.47,0,0.5,0,0,0,8.97,3.74,1.04,6.09,-1.91,0,4.47,0,0,0,-7.29,-9.17,1.23,-9.4,2.54,0,-0.13,0,0,0,93.88,86.35,86.34,93.87,83.43,0,90.38,0,0,0,90.94,83.36,82.44,90.81,80.71,0,86.62,0,0,0,23,63,9,158,608,4.11390789473684,316,1263,259,337,559,38,723,0,0,0,6.18,1.27,6.18,5.9,4.45,2.63,3.87,0,0,0,0.03,-1.14,-0.94,-0.35,-0.89,-1.33,-0.45,0,0,0,0.33,0.57,0.67,0.3,0.28,0.62,0.63,0,0,0,8.99,2.22,0.95,5.97,-1.85,0.34,5.49,0,0,0,-7.64,-9.06,0.75,-10.1,2.45,-5.37,-1.25,0,0,0,93.77,88.18,87.88,93.55,83.92,87.56,90.74,0,0,0,90.84,83.24,82.31,90.95,80.63,84.38,87.13,0,0,0
425657,2011,2012,lopezja02,1977,1,14,0,28,108,3.06722222222222,44,41,159,38,370,0,0,0,0,0,4.88,2.27,5.66,4.32,2.63,0,0,0,0,0,-0.46,-0.71,-0.94,-0.72,-1.46,0,0,0,0,0,0.03,0.57,0.67,0.32,0.86,0,0,0,0,0,6.25,0.95,3.52,-0.03,-1.46,0,0,0,0,0,9.21,10.87,1.81,10.69,-4.1,0,0,0,0,0,90.31,84.48,84.22,90.91,76.77,0,0,0,0,0,87.64,80.94,82.07,87.65,75.18,0,0,0,0,0,0,26,3,40,159,3.15707547169811,35,30,209,71,440,0,0,0,0,0,3.33,5.71,1.91,2.73,1.41,0,0,0,0,0,-0.49,-1.1,-0.93,-0.84,-1.3,0,0,0,0,0,0.31,0.24,0.43,0.4,0.82,0,0,0,0,0,6.18,1.88,3.13,-0.16,-1.72,0,0,0,0,0,9.52,11.36,2.51,11.14,-2.93,0,0,0,0,0,92.42,85.42,85.49,92.47,78.33,0,0,0,0,0,88.26,81.49,82.75,88.65,76.08,0,0,0,0,0
