Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
5.32,4.6,0.79,0.58,83.98,84.19,80.19,79.38,1.76,1.67,3.61,3.63,-0.72,-0.59,282,718,5.32272277227723,3.95465779467681,1.08,2.97,0.76,0.78,87.59,88.21,84.92,84.33,-5.31,-5.55,9.42,9.44,0.27,-0.01,93,236,115817,2012,0
2.41,2.96,-0.11,0.06,90.25,89.2,84.06,81.91,-2.05,-2.59,3.32,3.47,-0.83,-1.11,956,338,3.70087769784173,3.47995575221239,8.21,5.8,0.1,0.15,93,91.92,89.8,88.48,2.49,1.89,9.85,10.74,0.23,0.15,926,517,120485,2013,0
3.28,6.61,0.15,0.18,94.49,93.81,91.63,91.49,2.3,2.07,7.08,7.94,0.05,-0.08,853,121,3.048,1.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121250,2013,0
3.11,4.17,0.34,0.37,92.11,90.81,88.43,87.9,-1.15,-1.05,6.8,5.43,0.04,-0.31,161,360,4.6764046692607,3.69037572254335,3.93,6.14,0.41,0.3,93.78,94.42,90.09,91.04,-5.43,-4.08,9.49,10.49,0.17,0.31,1452,489,133225,2013,0
8.65,7.26,0.39,0.17,93.53,93.67,90.42,89.4,1.39,1.52,3.81,3.6,-0.35,-0.45,185,248,3.16372832369942,3.06353608247423,4.15,8.54,0.46,0.48,100.22,100.26,96.73,95.98,-7.01,-6.86,8.79,9.32,0.26,0.12,193,316,150035,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.695,4.15642857142857,6.25,5.75,0.25,0.3,94.13,93,91.31,90.38,10.45,10.49,6.73,6.76,-0.2,-0.02,400,731,150118,2012,0
4.42,5.06,0.51,0.49,87.05,88.07,83.22,84.09,1.27,1.03,0.26,1,-0.83,-0.87,452,672,4.5329218328841,3.54397183098592,7.57,5.5,0.24,0.22,91.88,92.14,89.2,89.91,-5.63,-5.78,6.45,6.73,0.35,0.32,251,382,218596,2015,0
2.48,6.99,0.26,0.34,91.73,92.86,87.58,88.59,2.23,2.55,5.82,4.98,-0.17,-0.39,121,372,5.9855,4.78352459016393,0,2.94,0.24,0.08,90.9,92.7,89.43,90.79,-3.22,-2.07,9.67,8.99,0.2,-0.03,25,34,239795,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.968,2.80522727272727,6.06,10.21,0.13,0.22,97.17,97.11,94.22,94.66,-6.99,-7.03,8.68,8.88,0.55,0.25,611,715,276351,2013,0
5.97,7.89,0.33,0.09,92.98,95.48,89.76,90.97,-0.63,0.83,6.3,5.14,-0.06,-0.16,553,570,4.15175146771037,3.57422279792746,7.16,7.05,0.43,0.49,95.1,96.99,92.11,93.71,-5.87,-5.2,8.93,9.14,0.01,0.36,517,993,277417,2012,0
