"mlbam_id","yearID","HR","BB","HBP","SO","IPouts","FIP","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball","Fourseam.bway","Change.bway","Slider.bway","Sinker.bway","Curve.bway","Split.bway","Cutter.bway","Knuckler.bway","Slow.Curve.bway","Screwball.bway","Fourseam.vloc","Change.vloc","Slider.vloc","Sinker.vloc","Curve.vloc","Split.vloc","Cutter.vloc","Knuckler.vloc","Slow.Curve.vloc","Screwball.vloc","Fourseam.hloc","Change.hloc","Slider.hloc","Sinker.hloc","Curve.hloc","Split.hloc","Cutter.hloc","Knuckler.hloc","Slow.Curve.hloc","Screwball.hloc","Fourseam.pfx_z","Change.pfx_z","Slider.pfx_z","Sinker.pfx_z","Curve.pfx_z","Split.pfx_z","Cutter.pfx_z","Knuckler.pfx_z","Slow.Curve.pfx_z","Screwball.pfx_z","Fourseam.pfx_x","Change.pfx_x","Slider.pfx_x","Sinker.pfx_x","Curve.pfx_x","Split.pfx_x","Cutter.pfx_x","Knuckler.pfx_x","Slow.Curve.pfx_x","Screwball.pfx_x","Fourseam.maxmph","Change.maxmph","Slider.maxmph","Sinker.maxmph","Curve.maxmph","Split.maxmph","Cutter.maxmph","Knuckler.maxmph","Slow.Curve.maxmph","Screwball.maxmph","Fourseam.mph","Change.mph","Slider.mph","Sinker.mph","Curve.mph","Split.mph","Cutter.mph","Knuckler.mph","Slow.Curve.mph","Screwball.mph"
110683,2010,9,39,5,55,248,4.76045161290323,23,210,0,6,653,0,437,0,0,0,8.57,0,0,3.98,33.33,0,2.52,0,0,0,0.12,-0.2,0,-0.36,-0.72,0,-0.81,0,0,0,0.16,1.15,0,0.4,0.24,0,0.52,0,0,0,9.13,2.55,0,5.07,-3.15,0,3.46,0,0,0,-4.48,-5.8,0,-8.91,4.03,0,3.49,0,0,0,96.94,86.07,0,96.88,81.91,0,90.47,0,0,0,92.98,82.82,0,92.82,78.18,0,86.88,0,0,0
110683,2011,2,33,6,31,180,4.375,25,273,0,7,414,0,241,0,0,0,5.86,4,0,4.83,0,0,5.81,0,0,0,0.07,-0.3,0,-0.47,-1.99,0,-0.77,0,0,0,0.27,0.95,0,0.3,0.68,0,0.44,0,0,0,8.54,4.4,0,4.88,0.04,0,2.02,0,0,0,-3.07,-5.16,0,-8.47,4.76,0,3.67,0,0,0,96.23,87.7,0,96.71,78.66,0,91.08,0,0,0,92.94,82.67,0,93.26,77.07,0,86.76,0,0,0
110683,2012,6,33,1,36,158,5.14563291139241,58,207,0,15,375,0,311,0,0,0,7.73,0,0,4.27,0,0,3.54,0,0,0,0.29,-0.56,0,-0.44,-0.89,0,-0.72,0,0,0,0.41,0.87,0,0.45,0.73,0,0.57,0,0,0,8.98,4.8,0,6.64,-1.78,0,2.08,0,0,0,-1.92,-4.33,0,-7.57,5.26,0,4.48,0,0,0,96.02,85.86,0,95.77,82.04,0,94.47,0,0,0,92.34,82.88,0,93,78.07,0,86.11,0,0,0
112020,2010,21,63,13,179,705,3.68751063829787,126,71,0,951,1652,0,709,0,0,0,8.45,4.76,0,7.93,4.21,0,4.65,0,0,0,0.49,-0.68,0,-0.22,-0.68,0,-0.42,0,0,0,0.11,0.8,0,0.21,0.42,0,0.3,0,0,0,8.71,5.85,0,5.56,-8.68,0,3.45,0,0,0,-4.19,-7.18,0,-8.46,7.31,0,1.68,0,0,0,94.55,87.47,0,95.95,78.01,0,91.39,0,0,0,92.08,84.98,0,92.03,74.77,0,86.99,0,0,0
112020,2011,16,55,6,191,712,3.06292134831461,77,690,0,847,1418,0,1091,0,0,0,5.51,6.49,0,6.77,4.72,0,6.23,0,0,0,0.12,-0.54,0,-0.23,-0.72,0,-0.48,0,0,0,0.08,0.82,0,0.35,0.44,0,0.34,0,0,0,8.28,3.4,0,4.81,-9.21,0,3.54,0,0,0,-4.09,-6.32,0,-8.54,7.95,0,1.64,0,0,0,97.18,88.38,0,96.63,78.78,0,94.6,0,0,0,93.71,86.27,0,92.85,75.43,0,88.36,0,0,0
112020,2012,2,3,2,12,51,4.095,25,189,0,86,106,0,107,0,0,0,5.29,0,0,3.77,1.16,0,4.67,0,0,0,-0.28,-0.89,0,-0.34,-0.61,0,-0.63,0,0,0,0.17,1.13,0,0.33,0.44,0,0.52,0,0,0,9.21,3.12,0,4.98,-8.32,0,4.76,0,0,0,-4.84,-8.32,0,-8.55,8.02,0,1.67,0,0,0,94.65,87.66,0,93.85,77.01,0,89.41,0,0,0,91.89,85.26,0,91.4,74.86,0,87.17,0,0,0
112526,2011,21,40,3,135,493,3.82824543610548,106,965,324,0,1087,0,34,0,0,0,4.87,3.77,6.48,6.62,0,0,5.88,0,0,0,0.17,-0.88,-0.88,-0.17,0,0,0.48,0,0,0,0.69,0.64,0.51,0.27,0,0,0.23,0,0,0,9.99,5.72,1.02,5.11,0,0,7.19,0,0,0,-4.98,-7.53,1.99,-8.98,0,0,-1.32,0,0,0,97.21,87.33,90.38,95.83,0,0,92.77,0,0,0,93.79,83.37,84.48,91.62,0,0,90.62,0,0,0
112526,2012,17,23,1,91,457,3.82366520787746,78,561,139,0,1269,0,1,0,0,0,5.53,5.13,5.04,7.8,0,0,0,0,0,0,0.04,-0.57,-0.68,-0.08,0,0,0.43,0,0,0,0.69,0.37,0.47,0.35,0,0,1.39,0,0,0,9.53,5.4,1.78,4.99,0,0,6.49,0,0,0,-5.72,-7.81,1.66,-9.25,0,0,-0.47,0,0,0,96.66,86.09,87.26,95.37,0,0,89.29,0,0,0,92.9,83.93,83.89,90.52,0,0,89.29,0,0,0
112526,2013,14,29,0,117,571,3.23188791593695,154,915,280,0,1611,0,11,0,0,0,5.79,9.09,3.21,7.95,0,0,9.09,0,0,0,0.05,-0.55,-0.94,-0.09,0,0,-0.2,0,0,0,0.68,0.45,0.51,0.33,0,0,0.56,0,0,0,9.3,6.02,1.97,5.3,0,0,6.9,0,0,0,-5.71,-7.47,1.16,-9.33,0,0,-1.66,0,0,0,97.09,87.07,89.17,95.31,0,0,91.86,0,0,0,93.02,83.42,84.16,89.97,0,0,89.41,0,0,0
112526,2014,22,30,5,151,607,3.57186820428336,170,899,354,0,1573,0,12,0,0,0,7.9,2.35,4.24,6.29,0,0,16.67,0,0,0,0,-0.98,-0.88,-0.21,0,0,-0.13,0,0,0,0.71,0.56,0.59,0.29,0,0,0.5,0,0,0,9.37,5.72,1.71,5.07,0,0,6.49,0,0,0,-4.45,-7.63,1.77,-9.09,0,0,-1.94,0,0,0,95.12,86.83,87.42,92.79,0,0,91.62,0,0,0,91.39,82.32,82.93,88.62,0,0,87.37,0,0,0
