playerID,yearID,HR,BB,HBP,SO,IPouts,FIP
abadfe01,2012,6,19,3,38,138,4.57326086956522
abadfe01,2014,4,15,4,51,172,3.25409302325581
abadfe01,2010,3,5,0,12,57,4.65794736842105
abadfe01,2011,5,9,1,15,59,6.33008474576271
abadfe01,2015,11,19,1,45,143,5.50462937062937
abadfe01,2013,3,10,1,32,113,3.26038938053097
accarje01,2012,3,16,0,29,112,3.87178571428571
accarje01,2010,0,3,1,3,20,3.979
accarje01,2011,5,18,1,23,113,5.04269911504425
aceveal01,2011,8,42,15,80,342,4.03377192982456
aceveal01,2010,1,4,1,2,36,5.079
aceveal01,2013,8,22,0,24,111,6.3452972972973
aceveal01,2012,11,31,6,75,252,4.33309523809524
aceveal01,2014,6,4,1,16,58,6.2871724137931
acostma01,2012,7,25,3,46,142,4.84852112676056
acostma01,2011,6,15,2,46,141,3.81223404255319
acostma01,2010,4,18,0,42,119,3.6336218487395
adamsmi03,2013,5,11,1,23,75,5.248
adamsmi03,2010,2,23,0,73,200,2.314
adamsmi03,2014,1,8,0,21,56,2.86414285714286
adamsmi03,2012,4,17,3,45,157,3.5153821656051
adamsmi03,2011,5,14,0,74,221,2.46843891402715
affelje01,2015,6,14,2,21,106,5.51135849056604
affelje01,2011,5,24,4,54,185,3.68986486486486
affelje01,2014,1,14,4,41,166,2.8609156626506
affelje01,2010,4,24,3,44,150,3.979
affelje01,2012,1,23,3,57,190,2.73184210526316
affelje01,2013,2,17,4,21,101,4.4440396039604
alberma01,2010,6,34,2,49,227,4.24199559471366
alberma01,2014,0,3,1,8,30,2.732
alberma01,2013,2,23,1,35,189,3.49244444444444
alberma01,2015,3,9,1,28,112,3.48221428571429
alberma01,2012,9,22,2,44,181,4.76903314917127
alberma01,2011,7,31,5,68,194,3.99922680412371
albural01,2013,5,34,2,70,147,3.7214693877551
albural01,2014,7,21,3,63,172,3.7773488372093
albural01,2015,4,33,1,58,186,3.74690322580645
albural01,2012,0,8,0,18,40,2.195
albural01,2011,0,29,2,67,130,2.07884615384615
allenco01,2014,7,26,1,91,209,2.98845933014354
allenco01,2012,2,15,0,27,87,3.68120689655172
allenco01,2013,7,26,1,88,211,2.99112796208531
allenco01,2015,2,25,2,99,208,1.8215
alvarhe01,2012,29,54,3,79,562,5.17685053380783
alvarhe01,2015,1,7,0,9,67,3.85041791044776
alvarhe01,2011,8,8,4,40,191,3.96740837696335
alvarhe01,2013,2,27,7,57,308,3.18436363636364
alvarhe01,2014,14,33,8,111,561,3.57585026737968
alvarjo02,2013,7,16,2,31,116,5.19455172413793
alvarjo02,2015,5,23,5,59,201,3.59668656716418
alvarjo02,2014,0,0,0,1,2,0.132
archech01,2015,19,66,3,252,636,2.89815094339623
archech01,2013,15,38,8,101,386,4.06613471502591
archech01,2014,12,72,8,173,584,3.38884931506849
archech01,2012,3,13,1,36,88,3.40181818181818
arrieja01,2015,10,48,6,236,687,2.34797379912664
arrieja01,2012,16,35,5,109,344,4.0543023255814
arrieja01,2010,9,48,4,52,301,4.7633853820598
arrieja01,2013,9,41,5,60,226,4.84003539823009
