key_mlbam,key_bbref
472551,abadfe01
444874,abreuju01
435618,accarje01
469686,aceveal01
592091,achteaj01
407924,acostma01
542866,adamsau01
430606,adamsmi03
346793,affelje01
452293,albaljo01
452027,alberan01
458006,alberma01
456379,albural01
592102,allenco01
602083,almonmi01
516714,alvarda01
506693,alvarhe01
501625,alvarjo02
571439,alvarrj01
506560,amarial01
571441,amesst01
502624,anderch01
594736,anderco01
542882,andrima01
542883,annade01
542587,araujel01
502042,archech01
450317,arencjp01
542888,armstsh01
608167,arojo01
461766,arredjo01
453562,arrieja01
448857,ascanjo01
446003,valdelu01
594742,asheral01
425786,atchisc01
457447,atilalu01
444444,atkinmi01
446248,augenbr01
518418,aumonph01
501593,avilalu01
518420,axelrdy01
446099,axforjo01
425646,ayalalu01
488674,badenbu01
276056,baezda01
520980,baezpe01
457732,bailean01
434633,bakerjo01
444446,balesco01
346797,balfogr01
457468,banksjo01
446454,bannibr01
544365,banuema01
453268,bardda01
598264,barnema01
488683,barnesc01
607457,barraky01
553872,barriyh01
542914,bassan01
430654,bassbr01
605135,bassich01
455374,bastaan01
110683,batismi01
545333,bauertr01
429714,bautide01
474039,beatope01
518444,beavabl01
444447,beckch01
571476,beckch02
277417,beckejo02
407853,bedarer01
592135,bedroca01
542923,beeleda01
346847,beimejo01
506988,belfimi01
430613,belisro01
279571,belisma01
542924,belivje01
425514,bellhe01
571479,bellaan01
502102,belowdu01
449110,beltrom01
276542,benoijo01
150249,bensokr01
448753,bergju01
448269,bergebr02
548357,bergmch01
456589,bergmja01
460072,berkeja01
476454,betande01
518452,bettich01
501852,billibr02
445202,bisenjo01
502195,blackvi01
448147,blackni01
429715,blacktr01
430599,blantjo01
518468,blazemi01
460283,blevije01
594762,bochybr02
459939,boggsmi01
460131,bogusbr01
502211,bolsimi01
425827,bondeje01
444382,bonined01
425818,bonsebo01
408052,bootcch01
542953,boshebu01
476601,bowdemi01
276914,bowerce01
502202,boxbebr01
571510,boydma01
430641,boyerbl01
542960,brachbr01
611093,brachsi01
457581,brackan01
488722,braddza01
460284,bradeda01
605151,bradlar01
435538,braybi01
430674,brazoyh01
444520,breslcr01
502033,brewech01
502010,brighja01
518493,brittdr01
502154,brittza01
458678,broadmi01
518495,brodebr01
605156,brookaa01
571521,brothre01
453156,brownbr02
446135,brownba01
455009,broxtjo01
445204,brummty01
430663,brunebr01
571527,buchada01
594772,buchaja01
453329,buchhcl01
488748,buchtry01
434438,bucknbi02
279824,buehrma01
499107,buenofr01
502055,buentja01
408072,bulgeja01
425860,bullibr01
518516,bumgama01
605164,bundydy01
592181,burawda01
542609,burgoen02
572744,burgohi01
457566,burkegr01
488751,burneal01
430634,burnese01
451132,burnsco01
434638,burrebr01
454537,burtoja01
433657,bushda01
460077,buterdr01
572750,butleed01
572751,butleke01
136263,byrdati01
501627,cabrace01
501227,cabreal03
542369,cabreed01
425507,cabrefe01
502239,cahiltr01
430912,cainma01
491708,caminar01
425861,campsh01
599998,campole01
448165,cappsma01
425626,capuach01
534428,carides01
434482,carlsje01
234194,carlybu01
455077,carpmi01
112020,carpech01
452764,carpech02
502304,carpeda01
518526,carpeda02
502165,carpean01
425647,carradj01
468528,carrejo01
425206,carroja01
453222,carrosc02
518533,carsoro01
408211,cashke01
488768,cashnan01
433586,garcija01
445001,cassebo01
441368,castial02
516684,castile01
502162,castran01
612434,castrmi01
501563,castrsi01
446399,cecilbr01
458584,cedenxa01
407860,chacigu01
468504,chacijh01
605177,chafian01
547973,chapmar01
488776,chapmja02
502087,chapmke02
543022,chatwty01
445926,chaveje01
136600,chenbr01
612672,chenwe02
453889,chicoma01
329092,choatra01
543023,chrisni01
425562,chulkvi01
571561,cingrto01
518553,cishest01
502011,claibpr01
503483,clarkza01
592222,claudal01
518560,clemepa02
521055,cletoma01
461325,clippty01
543031,cloydty01
445193,coellro01
457435,cokeph01
595918,coleaj01
543037,colege01
488787,colemca01
488786,colemlo01
518567,collmjo01
517008,colomal01
400125,colomje01
112526,colonba01
430638,colonro01
543045,conlead01
542266,contrca01
425747,contrjo01
346871,cookaa01
475857,cookry01
608641,cooneti01
571577,copelsc01
542289,corcida01
430101,cordech01
150188,cordefr01
449170,cordier01
433578,cormila01
607405,cornejo01
429781,correke01
451135,corteda02
543054,cosarja01
571584,cothaca01
425840,cottsne01
543056,couloda01
430884,crainje01
450864,cramebo01
572788,cravyty01
457751,crawfev01
641490,crockky01
518582,crosbca01
453273,crottmi01
407297,cruzju02
462480,cruzrh01
150212,cuddymi01
456501,cuetojo01
594792,cunnibr02
430664,daiglca01
457935,daleyma01
433579,danksjo01
592244,darnelo01
434678,davieky01
