"mlbam_id","year","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball"
543964,2015,6,143,122,NA,NA,NA,NA,NA,NA,NA
543964,2012,NA,25,11,NA,NA,NA,NA,NA,NA,NA
217096,2015,33,87,NA,30,NA,NA,NA,NA,NA,NA
217096,2013,256,585,854,451,371,NA,NA,NA,NA,NA
217096,2012,374,571,1071,697,722,NA,NA,NA,NA,NA
217096,2011,170,260,79,203,234,NA,NA,NA,NA,NA
217096,2010,504,1003,488,621,660,NA,NA,NA,NA,NA
446899,2015,207,NA,102,NA,626,NA,NA,NA,NA,NA
446899,2014,187,NA,171,NA,605,NA,NA,NA,NA,NA
446899,2013,184,NA,120,NA,667,NA,NA,NA,NA,NA
446899,2012,60,NA,96,NA,778,NA,NA,NA,NA,NA
446899,2011,45,379,183,NA,285,NA,NA,NA,NA,NA
446899,2010,54,680,144,NA,NA,NA,NA,NA,NA,NA
473646,2014,NA,207,103,NA,10,56,NA,NA,NA,NA
473646,2013,NA,290,108,NA,NA,77,NA,NA,NA,NA
473646,2011,NA,25,9,NA,NA,NA,NA,NA,NA,NA
473646,2010,NA,79,18,NA,NA,13,NA,NA,NA,NA
407296,2012,11,199,264,65,908,480,452,NA,NA,NA
407296,2011,2,608,331,81,989,195,233,NA,NA,NA
407296,2010,2,404,237,34,824,309,471,NA,NA,NA
489448,2014,NA,10,2,NA,NA,NA,NA,NA,NA,NA
489448,2013,1,100,50,NA,NA,NA,NA,NA,NA,NA
489448,2012,14,467,130,NA,NA,NA,26,NA,NA,NA
489448,2011,NA,56,25,NA,NA,NA,NA,NA,NA,NA
489448,2010,NA,105,48,NA,NA,NA,NA,NA,NA,NA
432934,2015,40,1267,866,6,NA,NA,NA,NA,NA,NA
432934,2014,155,1780,729,22,NA,NA,NA,NA,NA,NA
432934,2012,51,1358,391,24,NA,NA,NA,NA,NA,NA
432934,2011,59,266,65,6,NA,NA,NA,NA,NA,NA
432934,2010,7,411,136,2,NA,NA,NA,NA,NA,NA
489446,2015,35,229,75,69,NA,NA,NA,NA,NA,NA
489446,2014,33,363,260,21,NA,NA,NA,NA,NA,NA
489446,2012,3,12,1,NA,NA,NA,NA,NA,NA,NA
489446,2011,3,57,25,8,NA,NA,NA,NA,NA,NA
430900,2011,8,239,379,4,NA,NA,NA,NA,NA,NA
430900,2010,NA,224,424,NA,NA,NA,NA,NA,NA,NA
449079,2015,12,38,2,34,21,NA,NA,NA,NA,NA
449079,2014,73,257,128,177,164,NA,NA,NA,NA,NA
449079,2013,83,181,207,87,375,NA,NA,NA,NA,NA
449079,2012,4,168,252,93,316,NA,NA,NA,NA,NA
449079,2011,NA,31,28,17,102,NA,NA,NA,NA,NA
449079,2010,42,176,71,113,160,NA,NA,NA,NA,NA
453214,2015,NA,35,NA,NA,86,NA,NA,1056,NA,NA
453214,2014,1,21,NA,NA,31,NA,NA,293,NA,NA
453214,2013,NA,17,NA,6,16,NA,NA,205,NA,NA
605541,2015,80,399,119,20,96,NA,NA,NA,NA,NA
605541,2012,17,45,16,11,16,NA,NA,NA,NA,NA
124604,2014,105,19,35,223,253,NA,454,NA,NA,NA
124604,2013,106,17,35,281,247,NA,474,NA,NA,NA
124604,2012,NA,37,64,279,525,NA,263,NA,NA,NA
124604,2011,1,15,51,268,515,NA,304,NA,NA,NA
124604,2010,12,67,49,225,471,NA,100,NA,NA,NA
519445,2014,NA,1,NA,NA,NA,NA,NA,35,NA,NA
474699,2015,16,375,328,31,366,NA,NA,NA,NA,NA
474699,2014,26,527,347,128,527,NA,NA,NA,NA,NA
474699,2013,58,254,171,43,386,NA,NA,NA,NA,NA
