"mlbam_id","year","Fourseam","Slider","Change","Curve","Sinker","Cutter","Split","Knuckler","Slow.Curve"
430629,2013,123,36,NA,NA,NA,NA,NA,NA,NA
430629,2012,757,261,NA,NA,NA,NA,NA,NA,NA
430629,2011,860,177,NA,NA,NA,NA,NA,NA,NA
554430,2014,1447,495,236,518,594,NA,NA,NA,NA
554430,2013,1059,269,54,172,166,NA,NA,NA,NA
425856,2013,163,84,16,93,82,NA,NA,NA,NA
425856,2012,975,823,160,535,313,NA,NA,NA,NA
425856,2011,1049,872,116,593,350,NA,NA,NA,NA
458537,2012,475,135,132,48,14,NA,NA,NA,NA
458537,2011,1508,553,169,91,141,NA,NA,NA,NA
458537,2010,101,52,55,NA,138,NA,NA,NA,NA
543838,2010,34,16,NA,NA,2,NA,NA,NA,NA
541652,2013,293,98,47,NA,4,NA,NA,NA,NA
541652,2012,4,NA,NA,NA,NA,NA,NA,NA,NA
572089,2015,NA,59,8,NA,54,54,NA,NA,NA
572089,2014,24,71,12,NA,57,88,NA,NA,NA
572089,2013,42,342,70,NA,114,310,NA,NA,NA
543236,2010,14,2,NA,1,NA,NA,NA,NA,NA
543236,2009,36,4,10,4,NA,NA,NA,NA,NA
116414,2009,54,NA,NA,22,43,42,NA,NA,NA
116414,2008,157,NA,NA,170,152,262,NA,NA,NA
116414,2007,100,NA,1,78,43,175,NA,NA,NA
150274,2009,583,349,13,126,110,NA,NA,NA,NA
150274,2008,491,332,NA,81,140,NA,NA,NA,NA
150302,2013,NA,617,NA,NA,1217,NA,313,NA,NA
150302,2012,NA,636,269,NA,1125,NA,NA,NA,NA
150302,2011,31,695,281,NA,1039,NA,NA,NA,NA
228594,2009,70,NA,NA,2,NA,NA,27,NA,NA
228594,2008,613,NA,NA,NA,NA,NA,107,NA,NA
228594,2007,354,NA,NA,NA,NA,NA,83,NA,NA
276520,2014,85,NA,244,458,540,NA,NA,NA,NA
276520,2013,142,NA,551,1151,1171,10,NA,NA,NA
276520,2012,211,NA,442,1246,1025,194,NA,NA,NA
407793,2011,1321,711,209,474,122,NA,NA,NA,NA
407793,2010,1653,631,222,634,444,NA,NA,NA,NA
407793,2009,1103,385,87,778,716,NA,NA,NA,NA
407822,2011,490,132,NA,110,1,NA,285,NA,NA
407822,2010,1109,307,NA,74,NA,NA,561,NA,NA
407822,2009,1761,411,NA,240,NA,NA,552,NA,NA
407884,2009,88,42,20,NA,55,NA,NA,NA,NA
407884,2008,591,284,NA,NA,288,NA,NA,NA,NA
407884,2007,469,205,3,NA,NA,NA,NA,NA,NA
408069,2010,137,52,1,NA,NA,NA,NA,NA,NA
408069,2009,6,2,NA,NA,NA,NA,NA,NA,NA
408069,2008,136,12,33,NA,NA,NA,NA,NA,NA
425492,2011,341,NA,349,2,234,70,NA,NA,NA
425492,2010,342,NA,269,10,155,178,NA,NA,NA
425794,2010,8,NA,283,954,1542,554,NA,NA,NA
425794,2009,34,NA,248,897,1812,707,NA,NA,NA
429718,2009,3,3,33,28,136,NA,NA,NA,NA
429718,2008,3,5,67,183,723,NA,NA,NA,NA
429718,2007,5,3,32,60,259,NA,NA,NA,NA
429783,2013,364,121,NA,NA,NA,NA,35,NA,NA
429783,2012,686,168,NA,NA,NA,NA,60,NA,NA
429783,2011,783,166,NA,NA,NA,NA,63,NA,NA
429984,2008,434,158,18,74,16,NA,NA,NA,NA
429984,2007,404,96,30,40,NA,NA,NA,NA,NA
430580,2009,107,NA,NA,28,12,NA,54,NA,NA
