"Year","Fourseam","Change","Slider","pfx_var","mlbam_id","Sinker","Curve","Split","Cutter","Knuckler","Slow Curve","Screwball"
"2012","8.00","0.00","0.00","bway",543964,NA,NA,NA,NA,NA,NA,NA
"2015","6.29","0.00","6.56","bway",543964,NA,NA,NA,NA,NA,NA,NA
"2012","-0.04","0.00","-1.63","vloc",543964,NA,NA,NA,NA,NA,NA,NA
"2015","-0.13","-0.90","-0.86","vloc",543964,NA,NA,NA,NA,NA,NA,NA
"2012","-0.13","0.00","0.21","hloc",543964,NA,NA,NA,NA,NA,NA,NA
"2015","0.27","0.84","0.54","hloc",543964,NA,NA,NA,NA,NA,NA,NA
"2012","7.56","0.00","1.43","pfx_z",543964,NA,NA,NA,NA,NA,NA,NA
"2015","7.33","6.74","2.76","pfx_z",543964,NA,NA,NA,NA,NA,NA,NA
"2012","-7.75","0.00","1.57","pfx_x",543964,NA,NA,NA,NA,NA,NA,NA
"2015","-8.77","-7.62","6.73","pfx_x",543964,NA,NA,NA,NA,NA,NA,NA
"2012","97.51","0.00","87.15","maxmph",543964,NA,NA,NA,NA,NA,NA,NA
"2015","97.98","92.15","87.11","maxmph",543964,NA,NA,NA,NA,NA,NA,NA
"2012","95.88","0.00","86.13","mph",543964,NA,NA,NA,NA,NA,NA,NA
"2015","96.35","89.45","83.39","mph",543964,NA,NA,NA,NA,NA,NA,NA
"2008","3.53","4.78","4.17","bway",217096,"4.65","7.00",NA,NA,NA,NA,NA
"2009","5.85","5.51","3.88","bway",217096,"7.69","5.94",NA,NA,NA,NA,NA
"2010","3.79","6.35","5.33","bway",217096,"7.12","6.60",NA,NA,NA,NA,NA
"2011","2.69","7.65","2.53","bway",217096,"5.98","7.39",NA,NA,NA,NA,NA
"2012","2.98","4.81","5.42","bway",217096,"4.57","4.30",NA,NA,NA,NA,NA
"2013","5.98","5.47","3.16","bway",217096,"2.70","6.43",NA,NA,NA,NA,NA
"2015","3.45","6.06","0.00","bway",217096,"0.00","0.00",NA,NA,NA,NA,NA
"2008","0.46","-0.09","-0.13","vloc",217096,"0.17","-0.14",NA,NA,NA,NA,NA
"2009","0.48","-0.02","-0.11","vloc",217096,"0.04","-0.25",NA,NA,NA,NA,NA
"2010","0.59","-0.30","-0.17","vloc",217096,"0.39","-0.28",NA,NA,NA,NA,NA
"2011","0.44","-0.20","0.69","vloc",217096,"0.20","-0.35",NA,NA,NA,NA,NA
"2012","0.63","-0.19","0.08","vloc",217096,"0.23","-0.33",NA,NA,NA,NA,NA
