"Year","Fourseam","Change","Curve","pfx_var","mlbam_id","Sinker","Slider","Cutter","Split","Slow.Curve","Screwball","Knuckler"
2008,8.47,3.75,8.51,"bway",434672,NA,NA,NA,NA,NA,NA,NA
2009,7.34,4.62,5.34,"bway",434672,NA,NA,NA,NA,NA,NA,NA
2010,4.76,7.69,9.68,"bway",434672,NA,NA,NA,NA,NA,NA,NA
2011,0,10,16.67,"bway",434672,NA,NA,NA,NA,NA,NA,NA
2008,-0.08,-0.86,-0.81,"vloc",434672,NA,NA,NA,NA,NA,NA,NA
2009,-0.38,-0.85,-0.64,"vloc",434672,NA,NA,NA,NA,NA,NA,NA
2010,-0.57,-0.79,-0.98,"vloc",434672,NA,NA,NA,NA,NA,NA,NA
2011,-0.5,-1.1,-1.76,"vloc",434672,NA,NA,NA,NA,NA,NA,NA
2008,0.15,0.6,0.44,"hloc",434672,NA,NA,NA,NA,NA,NA,NA
2009,0.21,0.48,0.29,"hloc",434672,NA,NA,NA,NA,NA,NA,NA
2010,-0.16,0.88,0.2,"hloc",434672,NA,NA,NA,NA,NA,NA,NA
2011,-0.15,0.07,0.65,"hloc",434672,NA,NA,NA,NA,NA,NA,NA
2008,8.41,2.08,-2.22,"pfx_z",434672,NA,NA,NA,NA,NA,NA,NA
2009,9.32,3.15,-0.8,"pfx_z",434672,NA,NA,NA,NA,NA,NA,NA
2010,9.94,2.64,-2.52,"pfx_z",434672,NA,NA,NA,NA,NA,NA,NA
2011,8.94,2.54,-0.79,"pfx_z",434672,NA,NA,NA,NA,NA,NA,NA
2008,-7.64,-6.38,6.54,"pfx_x",434672,NA,NA,NA,NA,NA,NA,NA
2009,-7.21,-5.43,6.03,"pfx_x",434672,NA,NA,NA,NA,NA,NA,NA
2010,-7.33,-6.62,5.77,"pfx_x",434672,NA,NA,NA,NA,NA,NA,NA
2011,-9.54,-8.76,1.56,"pfx_x",434672,NA,NA,NA,NA,NA,NA,NA
2008,92.35,80.94,80.47,"maxmph",434672,NA,NA,NA,NA,NA,NA,NA
2009,91.44,77.35,80.4,"maxmph",434672,NA,NA,NA,NA,NA,NA,NA
