"mlbam_id","Year","pfx_var","Fourseam","Change","Slider","Sinker","Curve","Cutter","Split","Knuckler","Slow Curve"
430629,"2008","bway","6.47","4.35","4.27",NA,NA,NA,NA,NA,NA
430629,"2009","bway","5.26","0.00","5.95",NA,NA,NA,NA,NA,NA
430629,"2010","bway","5.04","0.00","5.26",NA,NA,NA,NA,NA,NA
430629,"2011","bway","5.47","0.00","1.69",NA,NA,NA,NA,NA,NA
430629,"2012","bway","6.47","0.00","2.68",NA,NA,NA,NA,NA,NA
430629,"2013","bway","0.81","0.00","5.56",NA,NA,NA,NA,NA,NA
430629,"2008","vloc","0.05","0.41","-1.03",NA,NA,NA,NA,NA,NA
430629,"2009","vloc","-0.16","-1.47","-1.16",NA,NA,NA,NA,NA,NA
430629,"2010","vloc","-0.15","0.00","-0.83",NA,NA,NA,NA,NA,NA
430629,"2011","vloc","-0.07","0.00","-1.15",NA,NA,NA,NA,NA,NA
430629,"2012","vloc","0.00","0.00","-1.39",NA,NA,NA,NA,NA,NA
430629,"2013","vloc","-0.13","0.00","-0.70",NA,NA,NA,NA,NA,NA
430629,"2008","hloc","0.42","0.54","0.49",NA,NA,NA,NA,NA,NA
430629,"2009","hloc","0.39","0.51","0.23",NA,NA,NA,NA,NA,NA
430629,"2010","hloc","0.43","0.00","0.36",NA,NA,NA,NA,NA,NA
430629,"2011","hloc","0.45","0.00","0.36",NA,NA,NA,NA,NA,NA
430629,"2012","hloc","0.45","0.00","0.19",NA,NA,NA,NA,NA,NA
430629,"2013","hloc","0.55","0.00","0.39",NA,NA,NA,NA,NA,NA
430629,"2008","pfx_z","9.08","8.42","2.06",NA,NA,NA,NA,NA,NA
430629,"2009","pfx_z","9.89","9.79","1.85",NA,NA,NA,NA,NA,NA
430629,"2010","pfx_z","8.72","0.00","1.10",NA,NA,NA,NA,NA,NA
430629,"2011","pfx_z","8.51","0.00","0.99",NA,NA,NA,NA,NA,NA
430629,"2012","pfx_z","8.71","0.00","2.94",NA,NA,NA,NA,NA,NA
430629,"2013","pfx_z","9.12","0.00","0.56",NA,NA,NA,NA,NA,NA
430629,"2008","pfx_x","-7.93","-7.65","-0.18",NA,NA,NA,NA,NA,NA
430629,"2009","pfx_x","-7.27","-6.88","-0.05",NA,NA,NA,NA,NA,NA
430629,"2010","pfx_x","-7.69","0.00","-0.29",NA,NA,NA,NA,NA,NA
430629,"2011","pfx_x","-7.76","0.00","-0.37",NA,NA,NA,NA,NA,NA
430629,"2012","pfx_x","-8.04","0.00","-0.81",NA,NA,NA,NA,NA,NA
430629,"2013","pfx_x","-8.07","0.00","0.69",NA,NA,NA,NA,NA,NA
430629,"2008","maxmph","99.16","88.68","89.12",NA,NA,NA,NA,NA,NA
430629,"2009","maxmph","99.68","90.02","88.61",NA,NA,NA,NA,NA,NA
430629,"2010","maxmph","99.91","0.00","89.15",NA,NA,NA,NA,NA,NA
430629,"2011","maxmph","100.65","0.00","89.35",NA,NA,NA,NA,NA,NA
430629,"2012","maxmph","99.61","0.00","91.34",NA,NA,NA,NA,NA,NA
430629,"2013","maxmph","99.88","0.00","88.93",NA,NA,NA,NA,NA,NA
430629,"2008","mph","95.62","85.79","85.65",NA,NA,NA,NA,NA,NA
430629,"2009","mph","95.08","85.95","85.03",NA,NA,NA,NA,NA,NA
430629,"2010","mph","96.89","0.00","86.10",NA,NA,NA,NA,NA,NA
430629,"2011","mph","98.07","0.00","86.61",NA,NA,NA,NA,NA,NA
430629,"2012","mph","96.96","0.00","88.47",NA,NA,NA,NA,NA,NA
430629,"2013","mph","97.47","0.00","86.43",NA,NA,NA,NA,NA,NA
554430,"2010","bway","11.11","0.00","0.00","0.00","0.00",NA,NA,NA,NA
554430,"2012","bway","33.33","0.00","0.00","0.00","0.00",NA,NA,NA,NA
554430,"2013","bway","8.03","5.56","5.58","3.61","3.49",NA,NA,NA,NA
554430,"2014","bway","6.36","1.27","6.87","4.71","3.09",NA,NA,NA,NA
554430,"2010","vloc","0.25","0.05","0.00","0.00","0.00",NA,NA,NA,NA
554430,"2012","vloc","-0.09","-1.36","-1.29","0.52","0.68",NA,NA,NA,NA
554430,"2013","vloc","0.10","-0.79","-0.85","-0.21","-0.98",NA,NA,NA,NA
