playerID,mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP
aardsda01,430911,2009,4,34,0,80,214,3.01288785046729
aardsda01,430911,2010,5,25,2,49,149,4.04544295302013
adcocna01,502264,2014,2,5,2,9,30,6.032
adcocna01,502264,2015,3,12,1,13,54,6.02288888888889
ambrihe01,459932,2010,10,17,1,37,145,5.35486206896552
anderbr04,474463,2009,20,45,3,150,526,3.69015589353612
anderbr04,474463,2010,6,22,7,75,337,3.21253115727003
anderbr04,474463,2011,8,25,7,61,250,3.961
arroybr01,276520,2012,26,35,5,129,606,4.08509900990099
arroybr01,276520,2013,32,34,7,124,606,4.48859405940594
arroybr01,276520,2014,10,19,3,47,258,4.31804651162791
baileho02,456701,2013,20,54,10,199,627,3.30637320574163
baileho02,456701,2014,16,45,7,124,437,3.92833867276888
baileho02,456701,2015,3,4,0,3,34,7.10458823529412
bakersc02,435044,2010,23,43,6,148,511,3.95962622309198
bakersc02,435044,2011,15,32,4,123,404,3.44826732673267
barreaa01,502578,2014,1,20,1,49,122,2.59101639344262
barreaa01,502578,2015,1,7,3,35,88,2.21354545454545
beachbr01,545404,2010,0,7,0,15,45,2.479
beachbr01,545404,2011,16,46,5,169,425,3.18735294117647
beachbr01,545404,2012,6,29,1,68,243,3.49006172839506
belltr01,457707,2014,0,2,0,0,2,12.132
betanra01,429783,2011,7,8,0,73,187,2.52767379679144
betanra01,429783,2012,6,12,0,57,173,3.095
betanra01,429783,2013,2,11,0,27,86,3.22241860465116
billich01,451532,2011,14,84,7,152,564,3.8281914893617
billich01,451532,2012,11,45,5,128,449,3.34221603563474
billich01,451532,2013,1,5,0,6,36,4.38133333333333
bonilli01,570810,2014,2,12,1,17,62,4.632
brasiry01,518489,2013,1,4,0,7,27,4.27022222222222
buchhta01,430587,2008,5,18,2,56,199,3.32797989949749
cappsca01,605169,2014,1,5,2,25,61,2.34511475409836
cappsca01,605169,2015,2,7,2,58,93,1.10174193548387
carigan01,446398,2011,1,2,0,5,19,4.44605263157895
carigan01,446398,2012,0,10,0,8,29,4.54327586206897
carraca01,471911,2009,6,11,0,11,67,7.08207462686567
carraca01,471911,2010,6,14,1,38,134,4.13123880597015
carraca01,471911,2011,15,40,4,85,374,4.28435828877005
cedajo01,469167,2010,1,11,1,9,26,6.65592307692308
cedajo01,469167,2011,1,12,0,21,61,3.36926229508197
chambjo03,501955,2009,21,76,12,133,472,4.81945762711864
chambjo03,501955,2010,6,22,1,77,215,2.98132558139535
chambjo03,501955,2011,3,7,1,24,86,3.54825581395349
cisnejo01,542585,2013,5,22,1,41,131,4.23883969465649
cisnejo01,542585,2014,0,4,0,5,14,3.56057142857143
cobbal01,502171,2013,13,45,3,134,430,3.36195348837209
cobbal01,502171,2014,11,47,10,149,499,3.22819238476954
coffeto01,434298,2010,8,23,3,56,187,4.20199465240642
coffeto01,434298,2011,4,20,1,46,179,3.4104748603352
coffeto01,434298,2012,1,9,2,18,58,3.61224137931034
colliti01,525768,2013,3,28,0,52,160,3.40425
colliti01,525768,2014,2,11,2,15,63,4.79866666666667
corbipa01,571578,2012,14,25,4,86,321,4.00154205607477
corbipa01,571578,2013,19,54,9,178,625,3.432
corpama01,466918,2008,7,23,2,50,239,3.96045188284519
corpama01,466918,2009,3,7,1,24,101,3.54254455445545
corpama01,466918,2010,7,22,2,47,187,4.18595187165775
crowaa01,543070,2013,6,22,2,44,144,4.33966666666667
crowaa01,543070,2014,10,24,0,34,177,5.40318644067797
cumptbr01,592238,2013,1,5,1,22,92,2.62408695652174
cumptbr01,592238,2014,2,18,6,46,210,3.21771428571429
darviyu01,506433,2013,26,80,8,277,629,3.27693481717011
darviyu01,506433,2014,13,49,2,182,433,2.84100692840647
daviser02,458530,2013,0,1,0,12,26,0.624923076923077
delarru01,523989,2011,6,31,0,60,182,3.86565934065934
devinjo01,457733,2008,0,15,0,49,137,1.97141605839416
diazja01,545064,2014,0,3,0,8,17,1.89670588235294
diazja01,545064,2015,2,6,0,18,57,3.55505263157895
drabeky01,475138,2010,2,5,0,12,51,4.079
drabeky01,475138,2011,10,55,1,51,236,5.51652542372881
drabeky01,475138,2012,10,47,1,47,214,5.61836448598131
duffyda01,518633,2011,15,51,5,87,316,4.81930379746835
duffyda01,518633,2012,2,18,0,28,83,3.96246987951807
edginjo01,572831,2013,2,12,2,20,86,4.02474418604651
edginjo01,572831,2014,2,6,0,28,82,2.6929756097561
elbersc01,455092,2011,1,14,1,34,100,2.725
elbersc01,455092,2012,3,13,1,29,98,3.79908163265306
escalse01,465065,2011,3,11,2,25,83,4.03704819277108
feierry01,456387,2008,7,14,1,26,119,5.24964705882353
felizne01,491703,2010,5,18,5,71,208,2.96361538461538
felizne01,491703,2011,4,30,0,54,187,3.57045454545455
felizne01,491703,2012,5,23,2,37,128,4.641875
fernajo02,605228,2013,10,58,5,187,518,2.72946718146718
