Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.648566572,11.6103475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150302,2013,1
0,0,0,0.51,0,85.4,0,83.64,0,-2.02,0,5.6,0,0.22,0,10,4.318046512,4.488594059,7.06,8.45,0.01,0.1,89.78,91.85,86.43,88.55,-5.73,-5.84,8.23,8.5,0.24,0.16,85,142,276520,2014,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70625,3.84644186,5.83,5.63,0.21,0.29,96.1,95.87,92.15,91.98,-3.06,-3.13,9.06,9.41,0.29,0.05,1321,1653,407793,2011,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.609643836,4.458095238,4.29,5.95,0.2,0.44,94.52,95.42,91.91,92.13,-4.89,-4.39,8.08,8.31,0.16,0.18,163,975,425856,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.222418605,3.095,6.59,6.12,0.5,0.55,93.67,94.77,91.32,92.2,-1.67,-1.02,11.03,11.1,-0.02,-0.04,364,686,429783,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22981818,4.452541899,0.81,6.47,0.55,0.45,99.88,99.61,97.47,96.96,-8.07,-8.04,9.12,8.71,-0.13,0,123,757,430629,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106967213,4.628668874,9.15,5.76,0.37,0.41,95.81,97.81,93.56,94.29,-7.88,-7.1,7.53,7.11,0.14,0.04,164,746,430963,2011,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.612241379,3.41047486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434298,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279545455,5.831941176,6.56,5.63,0.19,0.17,97.45,97.74,95.21,95.24,-3.58,-4.3,10.54,10.04,0.15,0.16,122,391,434641,2011,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.876333333,6.036761905,3.76,4.83,0.29,0.34,96.43,97.1,93.49,94.79,-2.13,-1.9,9.34,9.32,-0.44,-0.42,133,207,435045,2015,1
0,6.91,0.19,0,94.13,95.17,92.02,92.08,-1.3,-0.72,5.18,6.69,0.15,-0.04,60,434,6.220956522,7.036451463,4.6,4.88,0.57,0.57,96.55,96.52,94.36,94.19,-6.09,-5.02,8.33,9.48,0.01,0.02,174,451,435221,2015,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543275862,4.446052632,2.5,6.11,0.04,0.34,97.31,97.4,95.24,95.05,-1.6,-2.78,11.01,10.53,-0.08,0.06,160,131,446398,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.103555556,3.269418605,0,8.13,0,0.01,0,94.34,0,91.75,0,5.17,0,8.11,0,0.07,0,123,447714,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.525,2.329,6.25,9.38,0.2,0.38,93.45,91.48,91.61,89.75,12.43,10.27,3.94,4.15,-0.01,0.48,32,32,448179,2011,1
6.62,4.55,-0.04,-0.31,91.6,93.68,86.92,89.15,-1.21,-2.17,3.17,3.96,-0.04,-0.17,136,176,4.167847682,3.770631068,10.81,4.72,-0.06,-0.02,94.56,96.8,91.97,93.02,-8.48,-6.89,5.94,5.91,0.43,0.22,74,233,450203,2012,1
0,0,0,0.6,0,88.2,0,88.15,0,4.2,0,4.63,0,-1.26,0,2,4.296790698,3.837882353,4.62,4.85,0.03,0.07,91.19,91.15,88.13,88.34,6.09,6.33,10.94,10.44,-0.1,-0.07,195,1484,450306,2015,1
0,4.43,0.15,0,93.43,93.31,89.64,88.6,1.87,1.61,5.05,3.76,-0.57,-0.4,26,203,4.381333333,3.342216036,3.16,7.54,0.35,0.24,94.58,95.64,92.66,92.39,-1.85,-1.01,8.83,8.24,-0.04,0.13,95,1048,451532,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.104588235,3.928338673,6.15,7.55,-0.01,0.08,95.85,98.46,91.68,95.17,-5.5,-5.14,8.07,8.19,-0.54,0.09,65,1073,456701,2015,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804677419,2.924761337,3.79,6.76,0.48,0.37,96.06,95.94,92.24,92.25,4.27,4.71,11.66,10.67,0.24,0.25,475,1508,458537,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48677551,3.660836299,7.54,6.15,0.07,0.18,94.73,94.34,92,91.38,-4.66,-4.49,9.58,9.97,0.1,0.1,783,602,458550,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.095,5.077631579,14.29,0,-0.82,-0.19,95.05,95.52,92.63,93.39,-8.53,-7.54,9.19,7.25,-0.03,-0.03,7,15,458589,2012,1
5.81,4.4,0.98,0.7,92.46,93.19,87.45,88.59,0.86,-0.07,3.62,3.91,-0.47,-0.64,241,386,3.441984791,3.34803928,6.83,6.69,0.56,0.38,96.73,97.54,93.12,93.87,-4.57,-5.27,7.82,8.14,0.21,0.27,1728,1944,458681,2015,1
3.55,5.84,0.34,0.36,91.72,89.32,86.57,85.1,1.11,1.64,5.82,4.8,-0.42,-0.47,591,736,5.088548387,4.270967742,6.27,6.08,0.31,0.27,94.24,92.83,90.16,88.78,-3.79,-3.41,10.79,10.37,0.02,0.21,558,904,458708,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.132,2.328,0,6.38,0,0.17,0,99.91,0,95.97,0,-6.26,0,8.8,0,-0.03,0,298,458730,2014,1
0,0,0,0.84,0,92.9,0,89.14,0,-1.47,0,7.29,0,-0.39,0,16,2.383135593,4.465619621,6.15,7.95,0.2,0.24,96.74,97.17,94.7,93.13,-5.97,-6.5,8.36,8.26,0.32,0.2,65,881,460059,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.254292035,8.713101604,6.42,6.62,0.21,0.16,98.22,99.67,95.52,95.74,-7.59,-7.14,8.78,8.51,-0.02,0.1,467,1300,462956,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.906193548,3.471444976,3.6,7.54,0.26,0.18,96.23,97.99,93.44,94.31,-5.1,-4.63,7.81,7.96,0.12,0.1,111,610,467100,2014,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.523571429,4.640384615,5.05,0,0.05,-0.43,96.23,94.05,93.67,94.05,8.47,8.6,6.76,7.68,0.59,0.03,99,1,469802,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.576444444,12.71466667,0,0,-0.08,0,96.2,0,95.95,0,6.93,0,8.41,0,-0.86,0,2,0,471896,2014,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.284358289,4.131238806,6.3,7.82,0.25,0.26,96.64,96.35,93.42,93.66,-7.85,-7.46,8,8.01,0.09,0.07,825,243,471911,2011,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.961,3.212531157,3.97,8,-0.1,-0.07,95.99,97.28,92.32,93.46,7.16,7.5,8.27,8.29,0.2,0.18,428,725,474463,2011,1
2.78,5.96,0.32,0.4,93.71,94.74,91.11,91.36,0.34,0.49,6.6,5.85,-0.81,-0.6,180,285,5.618364486,5.516525424,3.39,4.46,0.46,0.34,97.05,97.39,93.64,94.49,-3.84,-3.3,9.98,10.22,-0.3,-0.29,384,538,475138,2012,1
0,6.74,0,0.73,0,92.4,0,87.86,0,-0.66,0,3.84,0,-0.23,0,89,4.641875,3.570454545,6.72,6.38,0.34,0.44,99.61,102.07,95.47,97.16,-6.83,-6.21,8.78,9.8,0.44,0.13,521,1145,491703,2012,1
12.75,6.32,0.28,0.22,92.77,94.6,90.01,90.83,-2.42,-1.25,7.14,6.58,0.04,-0.07,102,443,4.953571429,4.048631236,8.33,7.06,0.19,0.35,93.37,96.29,91.51,92.4,-6.08,-5.68,9.34,8.86,-0.1,-0.04,48,963,493137,2011,1
0,0,-0.46,0,94.46,0,90.16,0,0.51,0,2.14,0,-0.24,0,16,0,1.48883871,3.101230769,0,6.28,0.26,0.08,98.4,99.78,96.46,94.66,-7.07,-5.62,8.67,5.75,0.18,-0.07,33,478,493603,2015,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.548255814,2.981325581,4.94,7.37,0.41,0.53,99.38,99.95,95.3,95.79,-4.02,-3.08,9.62,10.28,-0.01,-0.07,243,773,501955,2011,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.022888889,6.032,10.38,3.23,0.1,0.13,97.72,97.11,94.85,93.49,-4.31,-5.96,5.62,7.6,-0.4,-0.37,106,31,502264,2015,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.213545455,2.591016393,2.3,4.55,0.23,0.15,96.64,96.91,94.78,94.42,-3.47,-2.23,9.06,9.38,0.2,0.23,87,154,502578,2015,1
8.33,0,0.64,0,87.77,0,86.06,0,0.54,0,1.82,0,-1.29,0,24,0,3.96246988,4.819303797,5.53,6.28,0.06,0.11,99.73,98.61,95.48,93.83,4.36,4.89,11.58,10.29,-0.04,-0.02,398,1289,518633,2012,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.005009346,3.297247191,7.32,7.05,0.29,0.28,101.18,100.07,96.96,95.78,-6.82,-6.15,9.17,10.21,0.29,0.33,1543,596,518774,2013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268328358,1.832534759,6.73,5.53,0.4,0.34,97.65,100.03,94.29,96.33,-0.34,-0.63,10.51,10.93,-0.32,-0.09,327,705,518813,2015,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518858,2014,1
11.11,0,-0.19,0,92.77,0,91.23,0,3.61,0,7.63,0,-0.59,0,9,0,4.732,3.952656319,4.76,5.86,-0.14,0.07,96.06,96.6,92.79,93.3,5.4,8.17,10.56,10.93,0.52,0.07,42,1484,519043,2014,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.974829268,4.699651163,7.3,6.24,0.19,0.14,92.35,92.55,89.62,89.64,3.68,3.36,11.79,10.19,0.13,-0.17,233,513,519186,2013,1
5.6,0,0.39,0,94.07,0,91.6,0,0.74,0,5.21,0,-0.5,0,125,0,3.78825,3.567230769,8.25,7.09,0.19,0.27,99.26,99.52,95.92,96.78,-4.8,-4.25,9.69,9.78,-0.03,-0.09,206,423,519437,2014,1
