mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP,Fourseam,Slider,Change,Curve,Sinker,Cutter,Split,Knuckler,Slow.Curve,Fourseam.bway,Change.bway,Slider.bway,Sinker.bway,Curve.bway,Cutter.bway,Split.bway,Knuckler.bway,Slow.Curve.bway,Fourseam.vloc,Change.vloc,Slider.vloc,Sinker.vloc,Curve.vloc,Cutter.vloc,Split.vloc,Knuckler.vloc,Slow.Curve.vloc,Fourseam.hloc,Change.hloc,Slider.hloc,Sinker.hloc,Curve.hloc,Cutter.hloc,Split.hloc,Knuckler.hloc,Slow.Curve.hloc,Fourseam.pfx_z,Change.pfx_z,Slider.pfx_z,Sinker.pfx_z,Curve.pfx_z,Cutter.pfx_z,Split.pfx_z,Knuckler.pfx_z,Slow.Curve.pfx_z,Fourseam.pfx_x,Change.pfx_x,Slider.pfx_x,Sinker.pfx_x,Curve.pfx_x,Cutter.pfx_x,Split.pfx_x,Knuckler.pfx_x,Slow.Curve.pfx_x,Fourseam.maxmph,Change.maxmph,Slider.maxmph,Sinker.maxmph,Curve.maxmph,Cutter.maxmph,Split.maxmph,Knuckler.maxmph,Slow.Curve.maxmph,Fourseam.mph,Change.mph,Slider.mph,Sinker.mph,Curve.mph,Cutter.mph,Split.mph,Knuckler.mph,Slow.Curve.mph
150302,2011,11,43,5,76,396,10.68649659,31,695,281,0,1039,0,0,0,0,9.68,1.78,5.18,4.33,0,0,0,0,0,0.13,-0.85,-0.82,-0.43,0,0,0,0,0,0.2,0.87,0.12,0.29,0,0,0,0,0,8.44,4.24,3.4,5.55,0,0,0,0,0,-7.15,-7.17,-0.44,-8.88,0,0,0,0,0,91.61,86.15,89.58,92.35,0,0,0,0,0,89.97,82.38,85.47,89.9,0,0,0,0,0
150302,2012,23,42,4,91,383,11.6103475,0,636,269,0,1125,0,0,0,0,0,5.95,5.66,4.18,0,0,0,0,0,0,-0.66,-0.73,-0.5,0,0,0,0,0,0,0.67,0.34,0.43,0,0,0,0,0,0,3.59,1.91,3.86,0,0,0,0,0,0,-7.18,-0.06,-9.88,0,0,0,0,0,0,85.83,88.5,92.29,0,0,0,0,0,0,81.33,83.54,89.65,0,0,0,0,0
150302,2013,18,68,4,72,353,5.648566572,0,617,0,0,1217,0,313,0,0,0,0,4.38,4.44,0,0,1.92,0,0,0,0,-0.93,-0.59,0,0,-0.79,0,0,0,0,0.38,0.55,0,0,0.82,0,0,0,0,2.03,3.54,0,0,1.43,0,0,0,0,-0.09,-9.7,0,0,-6.08,0,0,0,0,87.88,91.36,0,0,82.48,0,0,0,0,81.57,88.28,0,0,77.81,0,0
276520,2012,26,35,5,129,606,4.08509901,211,0,442,1246,1025,194,0,0,0,5.69,5.66,0,3.9,6.82,7.22,0,0,0,0.33,-0.16,0,-0.19,-0.22,0.45,0,0,0,0.34,0.68,0,0.44,0.62,0.03,0,0,0,8.68,4.35,0,5.77,0.38,5.06,0,0,0,-3.96,-5.67,0,-7.42,8.08,-0.66,0,0,0,90.79,85.24,0,91.29,82.21,88.95,0,0,0,88.1,79.28,0,88.05,74.51,85.45,0,0,0
276520,2013,32,34,7,124,606,4.488594059,142,0,551,1151,1171,10,0,0,0,8.45,4.9,0,6.75,7.21,0,0,0,0,0.16,-0.48,0,-0.14,-0.14,0.22,0,0,0,0.1,0.55,0,0.25,0.63,0.51,0,0,0,8.5,3.7,0,4.82,2.04,5.6,0,0,0,-5.84,-5.94,0,-7.95,7.45,-2.02,0,0,0,91.85,84.34,0,92.57,82.81,85.4,0,0,0,88.55,78.39,0,88.26,74.85,83.64,0,0,0
276520,2014,10,19,3,47,258,4.318046512,85,0,244,458,540,0,0,0,0,7.06,2.46,0,4.63,7.86,0,0,0,0,0.24,-0.75,0,-0.42,-0.19,0,0,0,0,0.01,0.65,0,0.38,0.54,0,0,0,0,8.23,1.65,0,3.06,1.77,0,0,0,0,-5.73,-7.35,0,-8.01,6.94,0,0,0,0,89.78,84.43,0,90.82,80.92,0,0,0,0,86.43,79.18,0,86.3,74.46,0,0,0,0
407793,2009,17,47,9,139,529,3.726489603,1103,385,87,778,716,0,0,0,0,5.53,3.45,3.12,6.28,5.01,0,0,0,0,0.03,-0.28,-1.2,-0.33,-0.87,0,0,0,0,0.2,0.87,0.76,0.63,0.35,0,0,0,0,9.72,6.33,0.1,6.7,-4.54,0,0,0,0,-4.19,-7.7,3.63,-8.33,5.7,0,0,0,0,96.18,87.49,86.41,95.59,84.71,0,0,0,0,92.11,84.68,82.68,91.83,79.37,0,0,0,0
407793,2010,18,72,9,156,645,3.84644186,1653,631,222,634,444,0,0,0,0,5.63,2.7,4.44,4.5,4.57,0,0,0,0,0.05,-0.45,-0.72,-0.28,-0.81,0,0,0,0,0.29,0.68,0.39,0.33,0.53,0,0,0,0,9.41,6.54,0.32,6.14,-4.32,0,0,0,0,-3.13,-6.93,3.08,-7.17,5.22,0,0,0,0,95.87,88.89,91.31,95.01,86.38,0,0,0,0,91.98,84.99,84.21,91.02,80.04,0,0,0,0
407793,2011,20,56,19,108,480,4.70625,1321,711,209,474,122,0,0,0,0,5.83,3.35,5.63,7.38,7.17,0,0,0,0,0.29,-0.57,-0.34,-0.13,-0.72,0,0,0,0,0.21,0.67,0.43,0.39,0.5,0,0,0,0,9.06,5.93,2.52,5.63,-4.32,0,0,0,0,-3.06,-7.79,2.67,-6.97,5.08,0,0,0,0,96.1,88,92.02,94.57,84.15,0,0,0,0,92.15,84.66,86.7,92.05,79.98,0,0,0,0
425492,2010,4,13,4,64,159,2.607301887,342,0,269,10,155,178,0,0,0,4.09,2.23,0,1.29,10,7.3,0,0,0,0.16,-1.38,0,-0.2,-0.78,-0.36,0,0,0,0.06,0.36,0,0.12,0.54,0.25,0,0,0,10.18,6.68,0,7.25,-9.8,4.82,0,0,0,-6.41,-8.64,0,-8.62,3.18,-0.18,0,0,0,97.71,86.85,0,97.26,80.65,93.7,0,0,0,94.66,84.23,0,94.37,78.93,90.06,0,0,0
425492,2011,2,16,1,62,182,2.250274725,341,0,349,2,234,70,0,0,0,7.62,2.87,0,4.27,0,11.43,0,0,0,0.19,-1.19,0,-0.01,-1.23,-0.06,0,0,0,0.15,0.25,0,-0.18,-0.32,0.38,0,0,0,9.31,5.69,0,6.95,-7.43,6.32,0,0,0,-7.02,-9.29,0,-8.48,-0.76,-2.36,0,0,0,97.79,87.9,0,98,82.69,94.69,0,0,0,95.17,84.7,0,94.56,82.04,92.56,0,0,0
425856,2011,22,45,11,151,581,3.809853701,1049,872,116,593,350,0,0,0,0,6.39,6.03,6.19,4,4.05,0,0,0,0,0.2,-0.37,-0.38,-0.14,-0.69,0,0,0,0,0.35,0.77,0.33,0.26,0.46,0,0,0,0,8.54,7.32,3.44,6.63,-5.23,0,0,0,0,-4.91,-6.71,-0.81,-7.94,7.52,0,0,0,0,95.54,88.41,90.68,95.06,82.56,0,0,0,0,91.86,84.98,86.18,91.57,79.37,0,0,0,0
425856,2012,22,63,14,144,504,4.458095238,975,823,160,535,313,0,0,0,0,5.95,3.13,8.26,5.11,4.3,0,0,0,0,0.18,-0.1,-0.41,-0.3,-0.62,0,0,0,0,0.44,0.93,0.47,0.23,0.49,0,0,0,0,8.31,4.53,3.02,6.14,-4.5,0,0,0,0,-4.39,-8.13,-0.17,-8.28,7.49,0,0,0,0,95.42,90.45,90.53,95.58,83.36,0,0,0,0,92.13,86.15,86.21,92.04,80.56,0,0,0,0
425856,2013,4,12,0,25,73,4.609643836,163,84,16,93,82,0,0,0,0,4.29,0,5.95,4.88,5.38,0,0,0,0,0.16,-0.74,-0.46,-0.16,-0.78,0,0,0,0,0.2,0.74,0.38,0.22,0.42,0,0,0,0,8.08,2.42,2.58,5.4,-4.8,0,0,0,0,-4.89,-9.02,-0.44,-8.65,7.49,0,0,0,0,94.52,89.13,89.34,94.92,82.58,0,0,0,0,91.91,86.78,86.48,92.11,80.81,0,0,0,0
429783,2011,7,8,0,73,187,2.527673797,783,166,0,0,0,0,63,0,0,7.66,0,3.61,0,0,0,1.59,0,0,0.08,0,-1.05,0,0,0,-1.24,0,0,0.53,0,0.52,0,0,0,0.82,0,0,11.32,0,1.02,0,0,0,7.4,0,0,-2.24,0,2.35,0,0,0,-5.79,0,0,95.92,0,84.44,0,0,0,90.76,0,0,93.04,0,81.71,0,0,0,86.57,0,0
