key_mlbam,name_last,name_first,birth_year,throws,height,weight,dl_id,newPosition,index_year
623406,Simmons,Shae,1990,R,71,175,147425,13,2015
605228,Fernandez,Jose,1992,R,74,215,126112,1,2014
605169,Capps,Carter,1990,R,77,220,131631,13,2016
595032,Whitley,Chase,1989,R,75,215,130227,1,2015
594987,Sadler,Casey,1990,R,76,225,130973,1,2015
592238,Cumpton,Brandon,1988,R,74,215,129515,13,2015
572831,Edgin,Josh,1986,L,73,245,129519,13,2015
572383,Moran,Brian,1988,L,75,210,124883,13,2014
572143,Smith,Burch,1990,R,76,215,129798,1,2015
572140,Skaggs,Tyler,1991,L,76,215,128118,1,2014
571800,Hutchison,Drew,1990,R,75,195,113269,1,2012
571786,Hollands,Mario,1988,L,77,230,129698,13,2015
571578,Corbin,Patrick,1989,L,75,210,124510,1,2014
570810,Bonilla,Lisalverto,1990,R,72,225,129756,1,2015
547749,Tazawa,Junichi,1986,R,71,200,11945,1,2010
545404,Beachy,Brandon,1986,R,74,215,113278,1,2012
545064,Diaz,Jairo,1991,R,72,200,131665,13,2016
543921,Wieland,Joe,1990,R,74,205,112616,1,2012
543409,Kohn,Michael,1986,R,74,200,112049,13,2012
543391,Kelly,Casey,1989,R,75,215,120264,1,2013
543339,Hudson,Daniel,1987,R,75,235,113372,1,2012
543070,Crow,Aaron,1986,R,75,195,129630,13,2015
542585,Cisnero,Jose,1989,R,75,245,126038,13,2014
527055,Vizcaino,Arodys,1990,R,72,190,24070,1,2012
527048,Perez,Martin,1991,L,72,195,126074,1,2014
525768,Collins,Tim,1989,L,67,170,129502,13,2015
523989,De La Rosa,Rubby,1989,R,73,225,19660,1,2011
519455,Zimmermann,Jordan,1986,R,74,225,3531,1,2009
519443,Workman,Brandon,1988,R,77,235,129956,13,2015
519437,Withrow,Chris,1989,R,75,240,126571,13,2014
519186,Reynolds,Matt,1984,L,77,240,120862,13,2013
519043,Moore,Matt,1989,L,75,210,125076,1,2014
518858,Jones,Nate,1986,R,77,220,128104,1,2014
518813,Holland,Greg,1985,R,70,205,130872,13,2015
518774,Harvey,Matt,1989,R,76,215,122943,1,2013
518715,Gearrin,Cory,1986,R,75,215,124690,13,2014
518693,Freeman,Sam,1987,L,71,165,10448,13,2010
518633,Duffy,Danny,1988,L,75,205,112744,1,2012
518489,Brasier,Ryan,1987,R,72,205,124881,13,2014
506433,Darvish,Yu,1986,R,77,220,129518,1,2015
502578,Barrett,Aaron,1988,R,75,225,130526,13,2015
502264,Adcock,Nate,1988,R,76,235,130309,1,2015
502229,White,Alex,1988,R,75,220,120223,1,2013
502171,Cobb,Alex,1987,R,75,205,129713,1,2015
502061,Fish,Robert,1988,L,74,230,112114,1,2012
502028,Wood,Blake,1985,R,77,240,112138,1,2012
501955,Chamberlain,Joba,1985,R,74,250,19215,13,2011
497807,Herrmann,Frank,1984,R,76,220,119518,13,2013
493603,Ottavino,Adam,1985,R,77,220,129954,13,2015
493159,Wada,Tsuyoshi,1981,L,71,180,112225,13,2012
493137,Matsuzaka,Daisuke,1980,R,72,205,17886,1,2011
493117,Fujikawa,Kyuji,1980,R,72,190,120746,13,2013
491703,Feliz,Neftali,1988,R,75,225,112847,1,2012
489189,Outman,Josh,1984,L,73,205,3267,1,2009
475138,Drabek,Kyle,1987,R,74,205,113249,1,2012
474668,Surkamp,Eric,1987,L,77,220,112095,1,2012
474463,Anderson,Brett,1988,L,75,240,19144,1,2011
471911,Carrasco,Carlos,1987,R,76,210,19717,13,2011
471896,Figueroa,Pedro,1985,L,72,215,125597,13,2014
469802,Perez,Luis,1985,L,72,215,113491,13,2012
469167,Ceda,Jose,1987,R,77,280,112081,13,2012
467100,Nova,Ivan,1987,R,76,235,125272,1,2014
466918,Corpas,Manny,1982,R,75,210,14437,13,2010
465065,Escalona,Sergio,1984,L,72,215,23865,13,2012
462956,Paulino,Felipe,1983,R,75,260,113189,1,2012
460059,Pelfrey,Mike,1984,R,79,240,112400,1,2012
460024,Hochevar,Luke,1983,R,77,225,124268,1,2014
459974,Meloan,Jon,1984,R,75,225,11800,13,2010
459932,Ambriz,Hector,1984,R,74,235,14950,13,2010
458730,Parnell,Bobby,1984,R,75,205,124948,13,2014
458708,Tomlin,Josh,1984,R,73,190,114117,1,2012
458681,Lynn,Lance,1987,R,77,240,130976,1,2015
458589,Herndon,David,1985,R,77,200,112471,13,2012
458550,Hefner,Jeremy,1986,R,76,205,121652,1,2013
458530,Davis,Erik,1986,R,75,205,123992,13,2014
457733,Devine,Joey,1983,R,72,235,2507,13,2009
457707,Bell,Trevor,1986,R,74,205,125077,13,2014
456701,Bailey,Homer,1986,R,76,225,129708,1,2015
456696,Hernandez,David,1985,R,75,245,124859,13,2014
456496,Mateo,Marcos,1984,R,73,220,112184,13,2012
456387,Feierabend,Ryan,1985,L,75,225,10253,1,2009
456167,Griffin,A.J.,1988,R,77,230,124871,1,2014
456068,Gonzalez,Miguel,1984,R,73,170,2227,13,2009
455092,Elbert,Scott,1985,L,74,225,120245,13,2013
452326,Poveda,Omar,1987,R,75,235,10403,1,2010
451775,Rodriguez,Fernando,1984,R,75,235,120124,13,2013
451532,Billingsley,Chad,1984,R,73,240,120416,1,2013
451491,Zumaya,Joel,1984,R,75,215,23871,13,2012
450665,Medlen,Kris,1985,R,70,190,14251,1,2010
450312,Worrell,Mark,1983,R,73,215,2405,13,2009
450306,Vargas,Jason,1983,L,72,215,130336,1,2015
450203,Morton,Charlie,1983,R,77,235,113079,1,2012
448592,Meredith,Cla,1983,R,72,190,16638,13,2011
448179,Hill,Rich,1980,L,77,220,18827,13,2011
447714,O'Flaherty,Eric,1985,L,74,220,120686,13,2013
446624,Haeger,Charlie,1983,R,73,210,23500,1,2012
446398,Carignan,Andrew,1986,R,71,235,113188,13,2012
446209,Litsch,Jesse,1985,R,73,235,2577,1,2009
435500,Giese,Dan,1977,R,74,200,2835,13,2009
435400,Motte,Jason,1982,R,72,205,120132,13,2013
435261,Miner,Zach,1982,R,76,225,11619,13,2010
435221,McCarthy,Brandon,1983,R,79,225,129910,1,2015
435045,Santos,Sergio,1983,R,76,215,130434,13,2015
435044,Baker,Scott,1981,R,76,215,112100,13,2012
434663,Oviedo,Juan Carlos,1982,R,74,195,114420,13,2012
434641,Gutierrez,Juan,1983,R,75,245,20140,13,2011
434298,Coffey,Todd,1980,R,76,240,113436,13,2012
430963,Pena,Ramon,1982,R,74,240,18762,13,2011
430911,Aardsma,David,1981,R,75,220,18146,13,2011
430587,Buchholz,Taylor,1981,R,75,220,2529,13,2009
430580,Simon,Alfredo,1981,R,78,265,2599,1,2009
429984,Proctor,Scott,1977,R,73,195,2521,13,2009
429783,Betancourt,Rafael,1975,R,74,215,121828,13,2013
429718,Hill,Shawn,1981,R,74,225,2654,1,2009
425794,Wainwright,Adam,1981,R,79,235,16672,1,2011
425492,Madson,Ryan,1980,R,78,210,112183,13,2012
408069,Threets,Erick,1981,L,77,240,14628,13,2010
407884,Yates,Tyler,1977,R,76,255,3193,13,2009
407822,De La Rosa,Jorge,1981,L,73,215,18746,1,2011
407793,Lackey,John,1978,R,78,235,20447,1,2011
276520,Arroyo,Bronson,1977,R,75,185,126960,1,2014
228594,Riske,David,1976,R,74,190,2593,13,2009
150302,Marquis,Jason,1978,R,73,220,121282,1,2013
150274,Nathan,Joe,1974,R,76,230,10484,13,2010
116414,Isringhausen,Jason,1972,R,75,235,3158,13,2009
543236,Gorgen,Matt,1987,R,70,210,16823,13,2011
572089,Rodriguez,Paco,1991,L,75,220,130907,1,2015
541652,Rondon,Bruce,1990,R,75,275,124641,13,2014
543838,Swagerty,Jordan,1989,R,74,175,23839,13,2012
458537,Luebke,Cory,1985,L,76,205,112480,1,2012
425856,Floyd,Gavin,1983,R,76,245,120482,1,2013
554430,Wheeler,Zack,1990,R,76,195,129732,1,2015
430629,Hanrahan,Joel,1981,R,76,250,120564,13,2013
